word,definition,weight
ally,"/la, la/  n. -lies a partner, friend: The USA and Great Britain were allies in World War II.  v. [I;T] /la, la/ -lies to combine, unite: Several political parties allied with each other against higher taxes. See: alliance.Thesaurus: ally n. supporter | friendly country. Ant. enemy.",9
alms,"/mz/  n.pl.frml. money, food, etc. given to poor people: The Bible speaks of giving alms to the poor.",9
also,"/lso/  adv. in addition, too: We bought a new sofa and also a new coffee table.Thesaurus: also plus, as well.",9
alto,"/lto/  n. a low, female singing voice: She sings alto in the chorus.  adj. having an alto musical range: He plays an alto saxophone.",9
Amen,"/emn, /  exclam. (in religion) an expression of approval or ending to a prayer: After saying a prayer, she said ""Amen.""",9
amid,"/md/  prep. amidst, among, in the middle of: Amid all her other troubles, she now has a bad back.",9
ammo,/mo/  n. infrml. [U] short for  ammunition,9
anal,/enl/  adj. related to the anus,9
anew,"/nu/  adv. over again, (syn.) afresh: His report had incorrect numbers, so he began anew and did them correctly.",9
ante,"/nti/  n. [C;U] 1 (in card games) money or chips put into a pot that the winner takes: We played poker with a $1 ante. 2 infrml.fig. to up the ante: to raise the cost of s.t.: We made an offer to buy a house for $100,000, but the owner upped the ante to $125,000.  v. -ted or -teed, -teing, -tes 1 [T] (in cards) to put money in a pot 2 infrml.fig. [I;T] to ante up: to pay for s.t.: You owe me $10, so ante up.",9
anus,/ens/  n. -es the opening in the lower colon between the human buttocks: Human waste is discharged through the anus.,9
A-OK,"/eoke/  exclam. all right, yes: Shall we leave now? A-OK, let's go!  adj. great, terrific: How are you? I'm A-OK.",9
apex,"/epks/  n. -es the top, (syn.) the pinnacle: The climber reached the mountain's apex.",9
aqua,"/kw, /  adj. a light bluish green color: The ocean was a lovely shade of aqua.",9
arch,"/rt/  n. arches 1 (in architecture) a curved structure of stone or metal, usu. rounded or pointed in the middle: The arches inside a big church are marvelous to see. 2 the middle portion of the underside of the foot, usu. raised: The poor man has fallen arches; that is, flat feet.  v. [I;T] to curve in the shape of an arch: The dancer arched her back then straightened it.",9
area,"/ri/  n. 1 [C] a place, location: The picnic area is near the parking lot.||The New York area has high rents. 2 [C] part of a room or a building: My kitchen has a dining area.||My apartment building has a storage area in the basement. 3 [C] one's field of knowledge or expertise: Sales is not my area; I'm in accounting. 4 [C;U] the size of a flat surface measured by multiplying the length by the width: What's the area of your garden?Thesaurus: area 1 locality, section, expanse | region (New York area)  2 space  3 subject, field (math, English) 4 the measurement of (a rug/floor).",9
aria,/ri/  n. a song for a single voice in an opera: The audience applauded after the soprano sang the aria so beautifully.,9
arid,"/rd, r/  adj. very dry, (syn.) parched: The Sahara Desert is arid.",8
arms,"/rmz/  n.pl. weapons of war, such as rifles and cannons: Countries sell arms to other countries for defense and war.",9
army,"/rmi/  n. -mies 1 a military land force of soldiers and tanks: The army gathered on the border to invade its neighbor. 2 a great number (of people, ants, etc.): An army of helpers arrived to clean up after the hurricane.",9
ASAP,  or asap abbr. for as soon as possible: She completed the work asap.,9
atom,"/tm/  n. the smallest unit of matter, a nucleus surrounded by protons and electrons: Atoms form into molecules that make up  matter.",9
aunt,"/nt, nt/  n. one's father's or mother's sister, or one's uncle's wife: My aunt Betty, who is my mother's sister, visits us every Thanksgiving.",9
aura,"/r/  n. an effect or feeling that is given off or surrounds a thing or person: He has an aura of wealth, with his fine clothes and expensive car.",9
auto,"/to/  n. -tos short for automobile, a four-wheel passenger vehicle: Too many autos are on the highways.  adj.infrml. short for automatic: The pilot put the airplane on auto control after takeoff.",9
avid,"/vd/  adj. keenly dedicated, enthusiastic: My sister is an avid golfer; she golfs every weekend. -adv. avidly.",9
avow,"/va/  v.frml. to say openly and clearly, (syn.) to declare: He avowed his innocence to the crime. -n. [C;U] avowal.",9
away,"/we/  adv. 1 somewhere else, afar: When no one answered the doorbell, the stranger went away. 2 absent, not present: I was away on vacation for two weeks.",9
AWOL,/ewl or pronounced as the letters/  adj. adv. abbr. for absent without leave: The soldier was <adj.> AWOL over the  weekend.||The soldier had gone <adv.> AWOL over the weekend. ,9
awry,"/ra/  adv. wrong, (syn.) astray: Our flight has been cancelled, and our trip has gone awry.",9
axis,/kss/  n. axes /ksiz/ 1 a straight line on which points are marked: I drew a horizontal and a vertical axis on a sheet of paper. 2 a straight line around which an object turns: The earth rotates on its axis.,9
axle,/ksl/  n. a metal pole on which wheels turn: My car's rear axle needs grease.,9
"B, b","/bi/  n. B's, b's or Bs, bs 1 the second letter of the English alphabet  2 the academic grade below an A, which is the highest: She received a B on her exam.",9
B.A.,"/bie/  abbr. for Bachelor of Arts degree, (syn.) baccalaureate degree: He received his B.A. in June. See: associate degree, USAGE NOTE.Usage Note: A B.A., like a B.S. (Bachelor of Science) is often called a bachelor's degree and is given after one finishes four years of college. Two-year colleges give associate's degrees (A.A.); graduate programs award master's degrees (M.A., M.S., etc.), and doctorates (PhDs) or professional degrees (M.D., J.D., etc.) After getting my B.A. in English, I went to graduate school and got my M.A. in education. ",9
B.C.,"/bisi/  abbr. Before Christ, the years before the birth of Christ in the Christian calendar: The great Roman Emperor Augustus was born in 63 B.C. See: A.D.",9
B.O.,/bio/  abbr. for body odor,9
B.S.,"/bis/  abbr. for a Bachelor of Science degree, a type of four-year college degree: She graduated with a B.S. in physics.",9
babe,/beb/  n. 1 frml. a baby: He held a young babe in his arms. 2 a person as innocent or unknowledgeable as a baby: He had no idea that they were cheating him; he was just a babe (or) a babe in the woods. 3 infrml.pej. an attractive young woman: Who is that babe I saw you with last night?,9
baby,"/bebi/  n. -bies 1 a child younger than two, an infant: His wife had a baby. 2 a very young animal: Look at the young kangaroo; he is still a baby. 3 infrml.fig. the youngest person in a group, esp. a family: She is the baby of the family. 4 infrml. a favorite, important project or special interest: That old car is his baby; he works on it all the time.  v. [T] -bied, -bying, -bies to treat like a baby: This plant is very delicate; you have to baby it. -adj. babyish.Thesaurus: baby n. 1 a newborn, little one | kid infrml. 4 a pet project, hobby. v. to pamper, coddle. ",9
back,"/bk/  n. 1 the side of the human body opposite the stomach and chest: I hurt my back when I lifted a heavy box. 2 the top of an animal, from the neck to the tail: Cowboys ride on horseback.||The cat put her back up and hissed. 3 backbone, spine: She broke her back. 4 the rear part of s.t., opposite the front: The back of the house needs to be painted. 5 behind s.o.'s back: to do or say s.t. without s.o.'s knowledge: They are nice to her when she is with them, but they say mean things about her behind her back. 6 to break one's back: to work very hard: Workers broke their backs to get all the orders out on time. 7 infrml. to get off s.o.'s back: to stop criticizing or annoying s.o.: I repaid the money that I owed my friend so he would get off my back. 8 to get (or) put one's back up: to become (or) make angry or offended: Comments about losing his hair always get his back up. 9 to have one's back to the wall: to have a bad problem, usu. with no solution: He can't find a job and has his back to the wall without any money. 10 in back of: behind, at the back of: The garage is in back of the house. 11 on one's back: a. to be sick and have to stay in bed: She's been on her back for a week with the flu. b. bothering, annoying s.o. 12 to turn one's back on: a. to refuse to help s.o. in trouble: How can you just turn your back on those poor children? b. to show anger, rejection, disdain: When he married a woman that his parents disapproved of, they turned their  backs on him and never spoke to him again.  adv. 1 in the direction from which one came: A tree fell across the road and we had to drive back home.||Put things back where you found them! 2 back and forth: from one side to another, (syn.) to and fro: The tree moved back and forth in the wind.  v. 1 [T] to support s.o., esp. by giving money: Some rich people backed a politician running for mayor. See: backer. 2 phrasal v. [I] to back away: to move away from a position, (syn.) to retreat: He backed away slowly from the snake. 3 phrasal v. [I] to back down: to stop one's demands, (syn.) to retreat: She demanded a bigger salary, but she backed down when her boss said, ""No."" 4 phrasal v. [I] to back off: to move backwards, draw away: The dog barked at the man, and the man backed off. 5 phrasal v. to back out: a. [T] to go backwards: She backed the car out of the garage. b. [I] to withdraw, (syn.) to cancel: He backed out of the business agreement. 6 phrasal v. sep. [T] to back s.o. or s.t. up: a. s.o.: to support, help: Two police officers backed up another one who was arresting a criminal.||They backed him up. b. s.t.: to copy computer records: She backed up her day's work on the computer.||She backed it up. c.  [I;T] s.o. or s.t.: to go backwards: The driver backed up his car and stopped.||He backed up. Thesaurus: back v. 1 to support, favor, sponsor.",9
bait,"/bet/  n.sing. [U] animal food used to catch animals and fish, (syn.) a lure: A fisherman used chopped fish as bait on his hooks.  v. [T] 1 to use bait: He baited his fishhooks. 2 to anger s.o., (syn.) to torment: A soldier baited a captured enemy by laughing at him.",9
bake,"/bek/  n.v. [I;T] baked, baking, bakes to cook in an oven usu. slowly, for a long time: The baker <v.> bakes fresh bread every morning. See: clambake.",9
bald,"/bld/  adj. 1 with little or no hair on the head: His bald head shines in the light. 2 plain, undecorated: the bald truth -n. [U] baldness.",9
bale,"/bel/  n. a large bunch of s.t. tied together, esp. cotton, hay, cloth, etc.: The farmer put bales of hay into his barn for his horses.",9
balk,"/bk/  n.v. [I] to stop, be unwilling to continue: He <v.> balked at the high price of the car and refused to buy it.||The horse <v.> balked at jumping the fence.",9
balm,/bm/  n.frml. 1 [C;U] a cream that stops pain or heals the skin: He put a soothing balm on his cut. 2 [C] fig. s.t. that makes one feel better: A good vacation is a balm for bad nerves.,9
band,"/bnd/  n. 1 a group of s.t.: There was a great musical band at the party.||A band of thieves has been robbing the neighborhood. 2 a strip of material (rope, tape, cloth): A worker tied cloth bands around a box. 3 in radio, a range of wavelengths  4 a ring: He wore a gold wedding band.  v. 1 [I] to group together: The workers banded together to stop the sale of the company. 2 [T] to tie together: He banded the box before mailing it.Thesaurus: band n. 1 a dance band, musical group, orchestra | group, crowd, party (of people),gang.",9
bane,"/ben/  n. 1 frml. one's ruin or death: Alcoholism was his bane. 2 the bane of one's existence: one's worst problem: A bad, aching back is the bane of her existence.",9
bang,"/b/  n. 1 a loud noise: The gunshot made a loud bang. 2 a hard blow, bump: The cars crashed into each other with a bang! 3 infrml.fig. enjoyment, delight: The kids got a bang out of going to the circus. 4 to go over with a bang: accepted with enthusiasm: His speech about workers' rights went over with a bang at the workers' meeting.Thesaurus: bang n. 1 an explosion, boom. v. 1 [I] to make a loud noise or hit: The door banged shut. 2 [T] to hurt: She fell and banged her knees. 3 phrasal v. [I;T] to bang away:  a. to ask questions without stopping, (syn.) to interrogate: The police banged away at the prisoner, but he wouldn't tell them anything. b. to work hard at s.t.: When I went by his office he was still banging away at the project. 4 phrasal v. sep. [T] to bang s.t. up: to damage, injure s.t.: When she fell, she banged up her leg. || She banged it up. bang v. 1 to slam, clap 2 to injure. adv.infrml. exactly, directly: She called me bang in the middle of dinner. ",9
barb,"/brb/  n. 1 a sharp point that sticks out from the main point on an arrow, fishhook, etc.  2 fig. sharp criticism: The irritated teacher shot barbs at the lazy student.",9
bard,/brd/  n.frml. a poet: Shakespeare is known as the Bard of Avon. ,9
bare,"/br/  adj. 1 uncovered, nude: The baby lies in bed as bare as the day he was born. 2 plain, simple, without extras: Just give me the bare facts; I can find out the details later.||She earns enough money only to buy the bare necessities.  v. [T] bared, baring, bares to show: I don't usually tell my secrets, but I bared my soul to her.||He took off his shirt and bared his chest. -n. [U] bareness.Thesaurus: bare adj. 1 naked, undressed, in the buff infrml., uncovered (floor, table). Ants.dressed, clothed. 2 essential, basic. Ants. complicated, elaborate. v. to expose.",9
barf,/brf/  v. slang [I] to vomit: He drank so much beer that he barfed all night.,9
barn,"/brn/  n. a building for storing crops and keeping animals and their food: We keep horses, sheep, and chickens in the barn.",9
base,"/bes/  n. 1 the lower part of s.t., foundation: That vase is on a wooden base. 2 the point where a part of s.t. is connected to the whole: The boxer hit the base of his opponent's neck. 3 s.t. (a fact, an assumption, etc.) from which a start is made: We will begin with your salary as a base and give you a 5 percent increase. 4 the main place where one works or lives, (syn.) headquarters: They use their apartment in New York as a home base from which they travel frequently. 5 (in chemistry) a bitter-tasting substance that turns litmus paper blue  6 a military camp, building, airport, etc.: The Air Force planes flew back to their base. 7 (in baseball) one of four squares touched by runners 8 infrml. to get to first base: a. to start: He tried to get a new job but did not get to first base. b. slang to kiss  9 infrml. off base: wrong: She is off base in her ideas about what is wrong with the economy. 10 infrml. to touch all the bases: (from baseball) to address all major points: He touched all the bases in his talk about the new product. phrasal v. insep. [T] based, basing, bases: to base s.t. on s.t.: to use as a reason for doing s.t.: She based her decision to marry him on love, not money.  adj. baser, basest: 1 basic, (syn.) fundamental: These are the base figures for the house's value. 2 low, (syn.) undesirable: That man operates from base desires: sex, drugs, and greed. -adv. basely; -n. [U] baseness.",9
bash,"/b/  n.slang bashes a lively and usu. expensive party or celebration: For her 50th birthday, her husband threw a big bash.  v. [T] bashed, bashing, bashes 1 to hit with  a heavy instrument, (syn.) to smash: Firefight-ers bashed in the door of the burning house with an ax. 2 fig.infrml. to criticize: The newspapers bashed the politician daily. ",9
bask,"/bsk/  v. [I] to sit and enjoy heat, sun, or s.t. enjoyable: Birds and animals sit on the rocks and bask in the sun.||She basked in the admiration of her colleagues.",8
bath,"/b/  n. baths /bz, bs/ 1 a washing, esp. all of one's body at one time: I took a hot bath last night. See: bathe. 2 a tub in which to wash oneself: The faucet in the bath is dripping. 3 infrml. to take a bath: to lose a lot of money: When the stock market crashed, he took a bath. 4 baths: a building for bathing or swimming",9
bats,/bts/  adj.slang to go bats: to get upset or go crazy: That poor guy went bats when he heard the bad news. See: bat (1); batty.,9
bawl,"/bl/  v.infrml. 1 [I] to cry loudly: The baby bawled for her milk. 2 phrasal v. sep. [T] to bawl s.o. out: to scold, yell at s.o.: His boss bawled the manager out for his accounting mistake.||He bawled him out.",9
bead,/bid/  n. 1 a small round piece of material with a hole for stringing: Her necklace is made of red glass beads. 2 a small amount of liquid: Beads of sweat fell from the tennis player's face.  v. [I] to form into beads: The sweat beaded up and fell into his eyes.,9
beak,"/bik/  n. the nose and mouth of a bird, turtle, etc.: Some birds have long beaks.",9
beam,"/bim/  n. 1 a long, thick piece of metal or wood used to make buildings, bridges, etc.: Steel beams are put together to make the insides of buildings. 2 a ray of light: Beams of light came from the car's headlights. 3 the width of s.t.: Big ships have wide beams. 4 infrml. on (or) off the beam: correct or incorrect: He is off the beam when he says that teaching is an easy job.  v. 1 [I] to shine  2 fig. [I] to smile widely: She beamed with happiness. 3 [I;T] to send a signal, (syn.) to broadcast: Radio stations beam their programs to listeners.",9
bean,"/bin/  n. 1 an edible seed of many plants: I like to eat lima beans and black beans. 2 infrml.fig. the head  3 infrml. a hill of beans: a small, unimportant amount: That wet, sandy land isn't worth a hill of beans. 4 infrml. full of beans: full of energy, very active: Those kids run all day; they're full of beans. 5 infrml. to spill the beans: to tell a secret by mistake: He spilled the beans when he told her about her surprise party.  v.infrml.fig. [T] to hit s.o. on the head: A boy beaned his friend with a baseball.",9
beat,"/bit/  v. beat, beating, beats 1 [T] to hit again and again: A man beat another man with a club. 2 [T] to mix or blend: She beat the eggs with a spoon. 3 [T] to move regularly: The bird beat its wings as it flew away. 4 [T] to defeat an opponent: Our team beat the other team again. 5 [T] to get around the rules: He beat the system by getting unemployment payments while he was still working. 6 [I] to throb: He could hear his heart beat loudly as he ran. 7 [T] to cause s.t. to make a sound by striking it: She beat a rhythm on the drum. 8 [T] to flatten by hitting again and again: They had beaten a trail from the house to the lake. 9 infrml. to beat it: leave quickly: You're not wanted here beat it! 10 infrml. it beats me: not to know: What is the answer? It beats me! 11 infrml. to beat a dead horse: to do or say s.t. that will not succeed, a useless effort: She's beating a dead horse when she talks about opening foreign offices, because no one listens to her. 12 phrasal v. sep. [T] to beat s.o. or s.t. back: to stop or make go backwards: Our competitors took sales away from us, but we beat them back with an improved product. 13 infrml. to beat the bushes: to search: Salespeople beat the bushes for sales by visiting many customers. 14 phrasal v. sep. [T] to beat s.t. down: to convince s.o. to lower a price: We beat down the price of the car to $6,000.||We beat it down. 15 infrml. to beat one's brains out: to try very hard: She beat her brains out trying to solve the math problem. 16 infrml. to beat s.o. to it or the punch: to do s.t. first: I beat my competitor to the punch by selling a new product first. 17 infrml. [T] to beat s.t. out of s.o.: to cheat: The drug dealer beat his boss out of some profits and then was murdered. 18 phrasal v. sep. [T] to beat s.o. up: to hurt badly: When I was little, the other kids used to beat up my brother and me.||They beat us up. 19 off the beaten path or track: where few people go: We went off the beaten path to a small island for our  vacation.Thesaurus: beat v. 1 to strike, pound 2 to stir, whip 3 to flap, flutter 4 to conquer, triumph over. Ant. to lose. 5 to go around, evade, circumvent frml. 6 to pound, pulsate. n. tempo, rhythm of music: The beat of the music makes me want to dance.  adj.infrml.fig. tired: I am really beat from working hard all week. ",9
beef,"/bif/  n. [U]  1 the meat of cattle: We had roast beef for dinner. 2 fig.slang a beef: a complaint: He always has a beef about  something. phrasal v. sep. [T] to beef s.t. up: to strengthen, add more: Fearing war, the country beefed up its defenses.||It beefed them up.",9
been,/bn/  past part of to be,9
beep,"/bip/  n.v.infrml. [T] the sound of a car horn or electronic device: He <v.> beeped his horn, then heard a <n.> beep from his electronic beeper.",9
beer,"/br/  n. [C;U] 1 a bitter alcoholic drink usu. made from grain: She had a sandwich and a beer for lunch. 2 a drink made from a plant or root: ginger beer, root beer adj.infrml. beer belly: a big stomach, (syn.) a paunch: That guy has a beer belly.",9
beet,/bit/  or beet root n. 1 a plant with a thick red root eaten as a vegetable  2 sugar beet: a variety of beet from whose white root sugar is made,9
bell,"/bl/  n. 1 a hollow metal object that makes pleasant sounds when hit: The mail carrier rang the doorbell. 2 infrml. to ring a bell: to recognize, cause to remember: You mentioned his name, but it doesn't ring a bell as to who he is.",9
belt,"/blt/  n. 1 a piece of leather, plastic, etc. worn around the waist: Belts are used to hold up pants. 2 an endless strap used as part of a machine: The conveyor belt took the packages to the loading platform. 3 an area of land with special qualities: Most wheat grown in the USA is from the Grain Belt. 4 to hit below the belt: to attack unfairly: Criticizing her accent is hitting below the belt; she speaks perfect English. 5 to tighten one's belt: to economize, spend less money: When my father lost his job, we all had to tighten our belts.  v.slang [T] to strike, hit: If he says one more word, I'll belt him in the mouth.",9
bend,"/bnd/  n. 1 a turn, curve: I followed the bend in the road. 2 pl. a. pains after coming up from deep water too quickly  b. infrml.fig. exhausted, unable to work: He started up a new company by himself and now has the bends. 3 infrml. to bend over backwards: to try very hard to please s.o., (syn.) to accommodate: The director of personnel bends over backwards to help each new employee. See: bent. v. bent /bnt/ bending, bends  [I;T] 1 to turn, make s.t. curved: I bent a stick and broke it in two. 2 to lean over at the waist: She bent over and picked up a piece of paper.Thesaurus: bend v. 1 to twist 2 to flex. Ant. to straighten.",9
bias,"/bas/  n. -es 1 a general tendency: She has a bias against wasting money. 2 prejudice: He has a bias against people who wear glasses. 3 on the bias: (of clothing) on a slant, angled adj. biased: inclined: He is biased against spending (glasses, the plan, etc.).",9
bide,"/bad/  v. [T] bided, biding, bides; to bide one's time: to wait until the right time to do s.t.: He is biding his time until he feels ready to ask her to marry him.",9
bike,"/bak/  n.v. [I] biked, biking, bikes infrml. bicycle or motorcycle: I ride my <n.> bike to work every day. -n. biker.",9
bile,"/bal/  n. [U]  1 a liquid from the liver that helps digest food: Bile breaks down fats. 2 frml. anger, (syn.) bitterness: She is unhappy and filled with bile. -adj. bilious /blys/.",9
bilk,"/blk/  v. [T] to trick s.o. for money, to cheat: He bilked the old lady out of her life savings.",9
bind,"/band/  v. [T] bound /band,/ binding, binds 1 to wrap with bandages: Doctors bind wounds. 2 to tie, esp. with string: She bound the package. 3 to stick together: Milk and eggs bind the flour in the cake batter. 4 to obligate, compel: His duty to his parents binds him to live near them.  n.infrml. in a bind: in difficulty: He is in a bind for cash, because he lost his wallet.",9
bird,"/brd/  n. 1 an animal with feathers, wings, and a beak: Most birds can fly. 2 a bird's-eye view: a sight from a high place: On the hilltop, we had a bird's-eye view of the valley below. 3 a bird in the hand is worth two in the bush: s.t. of small value is worth more than s.t. that is unsure  4 infrml. the birds and the bees: sex: The father told his son about the birds and the bees. 5 early bird: s.o. who gets up or goes somewhere early  6 infrml. for the birds: no good, inferior: That film was so boring; it's for the birds. 7 to kill two birds with one stone: to do two things with one effort: I had a business appointment in the city, then met my friend there for lunch, so I killed two birds with one stone.",9
bite,"/bat/  v. bit /bt,/ biting, bites 1 [T] to cut, put teeth into: Some dogs will bite you. 2 infrml.fig. [I] to cause pain, hurt: The increase in my rent payments is beginning to bite. 3 phrasal v. sep. [T] to bite s.t. back: to hold in, control: She bit back words of anger at her boss.||She bit them back. 4 infrml. to bite off more than one can chew: to try to do s.t. that is too difficult: That course in physics was too hard for him; he bit off more than he could chew. 5 to bite s.o.'s head off: to speak in anger, rudely: When I asked her to move, she bit my head off. 6 infrml. to bite the bullet: to do an unpleasant job: We have to bite the bullet and fire 20 percent of our workers. 7 infrml. to bite the dust: to die: We must cut expenses or the company will bite the dust. 8 infrml. to bite the hand that feeds one: to anger or harm a person who gives you s.t. good: She argues with her boss so often that she bites the hand that feeds her.  n. 1 an act of biting: The cat's bite hurt my hand. 2 a small amount of food: I had a bite to eat for breakfast. 3 a painful event: a tax bite, the bite of a cold wind 4 to grab a bite to eat: to eat quickly, esp. a small, simple meal: I'm going to grab a bite to eat, a sandwich maybe, before we leave. -n. biter. See: bark (2), 2.Thesaurus: bite v. 1 to sink your teeth into s.t., chew off a piece | nibble (people, horses), gnaw (dog)2 to sting, pinch. ",9
blab,"/blb/  v. [T] blabbed, blabbing, blabs to tell a secret to everyone: His secretary blabbed his secret love affairs to the office.",9
blah,"/bl/  or blah, blah n.infrml. 1 ordinary talk, (syn.) chatter: The people sitting in the park go blah, blah for hours. 2 pl. tiredness, (syn.) fatigue: The hot summer weather gives me the blahs.",9
blew,/blu/  v. past of blow,9
blip,"/blp/  n. a short electronic signal (sound, picture, etc.): An airplane makes a blip on a radar screen. See: bleep.",9
blob,"/blb/  n. 1 a soft, shapeless drop or mass: A blob of butter fell onto the table. 2 a small amount: a blob of ink, a blob of mashed potatoes 3 pej.slang a fat, lazy person",9
bloc,/blk/  n. a group of nations or politicians acting together in a cause: The liberal bloc voted for the tax increase.,9
blot,"/blat/  n. 1 a spot that makes s.t. dirty or stained, (syn.) a blotch: an ink blot 2 fig. a shameful event: The crime he committed is a blot on his record.  v. [T] blotted, blotting, blots 1 to soak up a liquid: She blotted water off the table with a towel. 2 phrasal v. sep. to blot s.t. out: to prevent from seeing, cover up: The fog blotted out our view of the road. See: blotter.",9
blue,"/blu/  adj. 1 having the color of: My car is blue.||Blue and yellow make green. 2 sad, (syn.) depressed: She is blue (or) feels blue today. 3 once in a blue moon: almost never: He visits once in a blue moon; we almost never see him.  n. 1 the sky: The bird flew off into the blue. 2 the sea: She threw her wedding ring over the side of the ship and watched it sink into the blue. 3 infrml. out of the blue: suddenly,  unexpectedly: Out of the blue, I got a phone call from a friend I hadn't seen in years. -adj. bluish.  See: blues.",9
blur,"/blr/  v. [I;T] blurred, blurring, blurs to make s.o. unable to see clearly, (syns.) to cloud, obscure: Her terrible headache blurred her eyesight.||Fog blurred our view of the hills.  n. s.t. unclear: Time has gone so quickly; this summer was just a blur.",9
boar,/br/  n. 1 a wild male pig  2 a male farm pig that can father young,9
boat,"/bot/  n. 1 an open vessel smaller than a ship that sails on water, (syn.) a craft: We watched the boats sail by.||We went fishing on the river in a rowboat. 2 fig. in the same boat: in the same situation or condition: When it started to rain at the picnic, we were all in the same boat; we all got wet.",9
body,"/bdi/  n. -ies 1 the physical form usu. of a human or animal, not including the mind or soul: The old man's body is healthy, but his mind is weak. 2 a dead person: They buried the body in the graveyard. 3 the main part of s.t.: The body of the newspaper article is quite long. 4 an object in the sky: The stars and moon are heavenly bodies. 5 a large amount: body of water 6 body and soul: one's whole being: I love that woman with all my body and soul. 7 to keep body and soul together: to survive: That elderly woman is so poor that it's all she can do to keep body and soul together.Thesaurus: body 2 a dead body, corpse | (at funerals) the remains, deceased | carcass (of an animal). ",9
boil,"/bl/  v. 1 [I;T] to heat a liquid until it reaches the temperature of 212°F or 100°C: I boiled the water to cook the eggs. 2 [T] to cook: I boiled the vegetables. 3 phrasal v. [I] to boil away: to boil s.t. until it has disappeared: The milk boiled away and ruined the sauce. 4 phrasal v. insep. [T] to boil down to: to reduce s.t. to its basics: It boils down to the fact that I was injured and it wasn't my fault. 5 phrasal v. [I] to boil over: to spread or spill over: Unhappiness with the government boiled over from the cities into the rest of the country. 6 phrasal v. [I] to boil up: to get to a dangerous level: Frustration is boiling up in the workers who lost their jobs. 7 [T] to make one's blood boil: to make s.o. very angry: Every time my brother takes s.t. of mine without asking me, he makes my blood boil.  n. 1 [U] liquid when boiling: I heated the water to a boil. 2 [C] a painful inflammation of the skin: I have a boil on my back. 3 to bring to a boil: to heat liquid until it bubbles: I brought the water to a boil and dropped the vegetables in.",9
