word,definition,weight
age of consent,  n. the legal age at which a person may agree to have sex: The age of consent in this state is 18.,9
air-condition,  v. [T] to cool the air with an air conditioner; to install an air-conditioning system: We air-conditioned our house to stay  cool during the hot summer. -n.(machine) air  conditioner.,9
air-conditioning,  n. [U] a machine or a system used to cool air in buildings,9
aircraft carrier,"  n. a large ship that acts as a military airport at sea: The aircraft carrier has 5,000 workers and 50 airplanes.",9
all-inclusive,"  adj. complete, including everything: The price of the vacation tour is allinclusive (of hotel, meals, and transportation).",9
alternating current,"  See: AC, 1.",9
Alzheimer's disease,"/lzhamrz/  n. a disease of the nervous system whose symptoms are early senility and memory lossUsage Note: Finding a cure for Alzheimer's disease becomes more important as America's population ages. Victims of the disease may be in good physical health and as young as 40 or 50, but they often feel confused, forget things, and don't recognize family members.",9
ambiance or ambience,"/mbins, mbins/  n. [U] atmosphere, the appearance and feeling of a place: The ambiance in that hotel is one of warmth and charm. -adj. ambient /mbint/.",9
American dream,"  n.sing. in USA, success, measured by having one's own house and automobile, a good education and job, as well as the promise of an even better life for one's children: As immigrants, they achieved the American dream when their daughter became a doctor.Usage Note: Making the American dream come true was easier in the days when many people worked at the same job all their lives. Today having a job doesn't guarantee lifelong income, health care, and a comfortable retirement. People must work hard just to live as well as their parents did.",9
amplification,"/mplfken/  n.[C;U]  1 an increase in sound level: The amplification of the sound on the stereo was too high. 2 more information about s.t., an explanation: The teacher gave an amplification of her thoughts to the class. -v. [I;T] amplify /mplfa/.",9
ante meridiem,/ntimrdim/  See: A.M.,9
antiauthoritarian,"/ntirtrin, r, nta/  adj. against authority: He has an antiauthoritarian attitude toward his boss.",9
antihistamine,"/nthstmin, mn/  n. a type of medicine used to reduce the symptoms of allergies and colds: I took an antihistamine to relieve my hay fever.",9
antiperspirant,"/ntprsprnt/  n. a substance put under the arms to stop sweating and odor: When his antiperspirant failed to keep his underarms dry, he switched to another one.Usage Note: Compare antiperspirant and deodorant. An antiperspirant stops a person from sweating, but a deodorant stops sweat from smelling bad. Americans spend millions of dollars on soaps, deodorants, and antiperspirants, and take daily baths or showers to remove natural body odor (B.O.). ",9
apprenticeship,"/prntp, tsp/  n. a period of time, often three to four years, spent working with a master craftsman or expert artist to learn a skill or trade: That great artist served an apprenticeship before becoming well-known.",9
April Fools' Day,"  n. the first day of April, celebrated in some countries by people playing tricks on each other: A person called me to say that I had won a million dollars, and then he said, ""April Fool!""",9
aptitude test,  n. a test to determine the type of work and activities a person may be successful at or to determine a person's potential for learning: My brother took an aptitude  test that showed that he is well suited for  photography.,9
argumentative,"/rgymnttv/  adj.  liking to argue, combative: He is very  argumentative.",9
"Armstrong, Neil","  (1930- ) American astronaut who was the first human being to walk on the moon: Neil Armstrong was commander of Apollo 11, the spaceship that reached the moon on July 20, 1969.",9
around-the-clock,"  adv. nonstop, going for 24 hours: They worked around-the-clock to finish the project on time.",9
artificial limb,"  n. an arm, hand, leg, or foot made to replace the living one, (syn.) a prosthesis: He lost his leg in an accident and wears an artificial limb.",9
artsy or arty,"/rti/  adj.infrml. -ier, -iest wearing clothes or behaving in a way intended to be like an artist: She wears very arty clothes and likes to be around actors.",9
associate degree,"  n. in USA, a rank earned after a set two-year course at a college or university. See: B.A., USAGE NOTE.Usage Note: Compare B.A. (bachelor's degree) and A.A. (associate degree). People who aren't prepared to study at a university may earn an A.A. at a junior or community college. They may then transfer their credits to a four-year college or university. An A.A. is also given for completion of two-year vocational courses in such fields as accounting, business administration, and restaurant management. ",9
athlete's foot,  n. [U] a type of skin disease that causes cracking and itching in the skin between the toes: The doctor suggested he use a certain cream to alleviate the itching caused by his athelete's foot.,9
athletic supporter,"  n. a garment worn to support and protect the male genital area, (syn.) jockstrap: He puts on an athletic supporter before he goes running.",9
atomic energy,"  n. [U] energy made from splitting atoms in a nuclear reactor, usu. for electricity: Atomic energy is a major source of electrical power for many nations.",9
attorney general,  n. attorneys general the chief lawyer for a nation or state: Citizens were so upset by an investment scandal that they wrote to the state attorney general about it.,9
audio-lingual,/diolgwl/  adj. related to a method of learning a language that stresses intensive listening and speaking: My French teacher uses the audio-lingual approach to teaching.,9
authoritarian,"/rtrin, r/  adj. demanding or requiring others to do exactly what you tell them to do without questioning that it is right or wrong: The authoritarian government has been in power for many years.  n. a person who demands that others do exactly what he or she says without questioning if the orders are right or wrong: The Commanding General was an authoritarian.",9
authoritative,"/rtetv, r/  adj. the most reliable, (syn.) definitive: Dr. Harry Gray wrote the authoritative book on chemistry. -adv. authoritatively.",9
authorization,"/rzen/  n. [U;C] the granting of permission (authority, the right, etc.): The company gave authorization to all managers to spend money as they wished.",9
autobiography,"/tbgrfi, to/  n. -phies the story of a person's life written by that person: The famous film star wrote her autobiography. -adj. autobiographical /tba grfkl, to/; -adv. autobiographically.",9
automated teller machine,"  n.abbr.  ATM [C] a computerized bank machine for  obtaining cash, seeing one's account balances, and making deposits: Automated teller machines are very convenient, especially  on weekends.",9
baccalaureate,/bklrit/  n. See: B.A.,9
backscratching,/bkskrt/  n.infrml. fig. [U] doing a favor for s.o. and getting s.t. good in return: I'll buy your product if you give my son a job; that's backscratching.,9
balance of payments,"  or trade n. the amount of money that a country owes to other countries for buying their goods, less the amounts owed by those countries: The USA has had a negative balance of payments with other countries by importing more than it  exports.",9
balance of power,"  n. a condition where one country or group within a country is not stronger than the other: In the USA, there is a balance of power between the Congress and the President.",9
balance sheet,"  n. statement of what a company owns, or assets (property, products, cash, etc.), and owes, or liabilities (loans, debts, etc.): The accountant prepared the company's balance sheet for the year. See: profit and loss statement.",9
ballpoint pen,/blpnt/  n. a writing instrument with a ball-shaped tip,9
bargaining chip,  n. item to be offered or taken away in a negotiation: The threat of a strike is a strong bargaining chip that a union brings to a negotiation with management.,9
beauty parlor,"  or shop a business for hairdressing, manicures, etc., a salon: She goes to the beauty parlor to have her hair cut.",9
beck and call,/bk/  n. ready to obey: The servant was at the beck and call of his master.,9
bed and breakfast,"  n. a private home that rents rooms to guests and serves breakfast: We stayed at a bed and breakfast last night. See: room and board.Usage Note: A bed and breakfast (or B & B) is a private home that offers guests a bedroom, bathroom, and a full breakfast. B & Bs are usually located in the countryside. An inn is a small hotel, also often in the country. A hotel is usually larger than an inn, and may be located in the city or country. A motel is a small, usually one-story hotel along a highway where guests can park their cars in front of their rooms.",9
"Bell, Alexander Graham",  (1847-1922)  Scottish-born American inventor of the telephone: Alexander Graham Bell invented the first hearing aid and also started a school for deaf students.,9
big-ticket item,  n. s.t. that costs a lot of money: A new car is a big-ticket item,9
Bill of Rights,"  n. (in USA) rights given by law, such as freedom of speech, freedom to meet publicly, etc.: The Bill of Rights is part of the Constitution.",9
biodegradable,"/baodgredbl/  adj. capable of breaking down to be absorbed by nature, esp. without harming it: Those paper plates are biodegradable. See: recycle.Usage Note: Biodegradable means that  the material in s.t. can break down naturally and be absorbed by the earth. Recyclable means that the materials in a product, such as paper, plastic, glass, aluminum, etc., can be recycled. Recycled means that the materials in a product have been processed to be used again.",9
biotechnology,/baoteknaldi/  n. [U]  the business of using biochemistry to develop new medicines and other advances to improve health: Biotechnology develops new drugs to fight cancer and AIDS.,9
birth certificate,  n. legal document stating when and where one was born,9
birth control,"  n. [U] a method, such as a condom or medication that prevents pregnancy, (syn.) contraception: She uses birth control regularly.",9
bite-size or bite-sized,  adj. a small piece of food that fits easily into the mouth: Those pieces of chocolate are bite-size and delicious!,9
blood pressure,  n. [U] measurement of the force with which blood moves through the body: High blood pressure can cause heart  attacks.,9
boarding school,  n. a school where students live and study,9
boardinghouse,/brdhas/  pl. -houses /hazz/ n. a private house where people rent rooms to live: She runs a boardinghouse where eight students live.,9
boiling point,  n. 1 the temperature at which a liquid boils: The boiling point of water is 212° Fahrenheit and 100° Celsius. 2 fig. the time when s.t. violent happens: Her temper reached the boiling point and she started screaming.,9
bootie or bootee,/buti/  n. a small shoe for babies,9
brass knuckles,"  n.pl. a bar of metal that fits around the fingers, used to hurt s.o.: A criminal broke the man's jaw with brass knuckles.",9
breaking point,"/brek/  n. the time when s.o. or s.t. will change or fall apart, a crisis: Her nerves are at the breaking point.",9
Breathalyzer,  n.  a device that measures the amount of alcohol in a person's breath to determine the amount of alcohol in his/her blood: Police officers use Breathalyzers to identify drunk drivers.,9
breeding ground,  n. 1 a place where animals raise their young: That park is a breeding ground for birds. 2 fig. a place where ideas are born and behavior is formed: Universities are breeding grounds for new theories.||Caring communities are breeding grounds for good citizenship.,9
briar or brier,/brar/  n. [C;U]  1 a plant with needles 2 a wood from the root of the briar: Fine pipes for smoking tobacco are made from briar.,9
British thermal unit,  n. abbr. BTU a unit of measurement for heat: The ability of air conditioners to cool is measured in BTUs.,9
brokenhearted,"/broknhrtd/  adj. extremely sad, (syn.) crushed: He was brokenhearted when his wife died. -adv. brokenheartedly.",9
brother-in-law,/brrnl/  n. brothersin-law a brother of one's husband or wife or the husband of one's sister: My brother-in-law Ken married my sister Maria in 1996.,9
Brownie points,"  n.pl.infrml. approval of s.o. in authority (boss, teacher, etc.) by doing something to please him or her: He finished the report early to get some Brownie points with his boss.",9
Brussels sprouts,/brslz/  n.pl. small green vegetables similar to cabbage,9
bulletin board,"  n. 1 a board on a wall where notices, information, etc., are displayed: I saw our class schedule on the school bulletin board. 2 an electronic mail system that allows computer users to leave general messages for anyone to read",9
bumper sticker,"  n. a strip of paper with a message on it put on a car bumper: The bumper sticker on my car says ""I'd rather be sailing than working.""",9
business card,"  n. a small paper with a person's name, business address, and telephone number, etc.: Business cards are often given to customers so that they remember you.",9
business suit,  n. a man's or woman's suit that is often dark-colored and well-made: That lawyer always wears a business suit to court.,9
businesswoman,/bznswmn/  n. -women /wmn/ a woman who does business: Businesswomen can earn high salaries in Los Angeles.,9
butterfingers,"/btrfgrz/  n.pl. s.o. who cannot hold on to things, (syn.) clumsy person: He is always dropping things on the floor; he's a butterfingers.",9
cabin cruiser,  n. a boat with a cabin or cabins for sleeping: They sailed down the coast in their cabin cruiser.,9
cable television,  or TV n. [U] a television service that sends its programs via cables to customers who pay for the service: The TV pictures sent by cable television are very clear.,9
capital asset,"  n. property owned by a business: Land, offices, warehouses, factories, equipment, and furniture are capital assets.",9
capital punishment,"  n. [U] the option to put to death criminals who commit very serious crimes, (syn.) the death penalty: Some states in the USA allow capital punishment; others do not.Usage Note: Each state in the USA makes its own laws about punishing criminals for certain crimes. Therefore, some states allow capital punishment and other states do not. Capital punishment is a social issue that is very important in the United States right now: She believes in capital punishment, so she voted for a senator who believes in capital punishment.",9
capitalization,/kptlzen/  n. [U] the value of the stock shares in a company: The capitalization of that company is $10 million.,9
carbon dioxide,"/daksad/  n. [U] a gas with no color, taste, or smell, formed when people and animals exhale, and used in fire extinguishers and carbonated drinks: About 1% of the air around the earth is made up of carbon dioxide.",9
carbon monoxide,"/mnksad/  n. an extremely poisonous gas with no color, taste, or smell, and occurring esp. in the exhaust from gasoline engines: Breathing too much carbon monoxide can kill a person in a few minutes.",9
cardiac arrest,"  n. [C;U] heart failure, (syn.) a heart attack: The man died of cardiac arrest.",9
carte blanche,"/krtblnt, bln/  n. [U] (French for) freedom to do whatever needs to be done, esp. with authority and money: Her company gave her carte blanche to start a new project; she has carte blanche to spend whatever she needs to spend.",9
cash on delivery,"  or C.O.D. adv. with payment made by the buyer upon receiving the purchase: I ordered a pair of shoes and paid $50, cash on delivery, to the mailman.",9
casual Friday,"  n. a practice in some businesses of dressing informally on Fridays, instead of wearing suits and dresses: On casual Friday, I wear jeans, sneakers, and a polo shirt to work.",9
catch-as-catch-can,"  n.adj. doing s.t. by whatever way is possible: We ran out of paper for the photocopier; it was catch-as-catch-can, so we used company stationery instead.",9
catty-cornered,"/ktikrnrd/  adv.adj. at an angle, in a diagonal position: The car skidded in the snow and got stuck <adv.> cattycornered in the street.",9
cellular phone,  or telephone or cell phone n. a small telephone you can carry with you that operates through networks of radio antennas or space satellites: I used my cellular phone to call a friend from the beach.,9
central air conditioning,  n. a system using a central machine to produce cool air that is spread evenly throughout a building: The  central air conditioning in our house cools upstairs and downstairs.,9
central heating,  n. [U] a furnace to produce heat that is spread evenly throughout a building by pipes: Central heating makes our house comfortable in winter.,9
certificate of deposit,"  or CD n. an official document from a bank that shows how  much money you gave them, the amount of  interest they pay you, and the period of  time that they will keep the money: I have most of my savings in certificates of deposit (or) CDs at Citibank.",9
certification,"/srtfken/  n. [C;U] formal recognition, usu. with a printed license, of having met requirements to perform a function: He has his certification as a math teacher.",9
certified check,"  n. a check stamped (certi-fied) by your bank, showing that funds have been set aside in your account to guarantee  its payment: I went to the bank and got a  certified check for payment on a new car.",9
certified mail,"  n. [U] in the USA, mail that is signed for by the person who receives it, using a green postcard attached to the piece of mail (letter, package) that is then returned to the sender to show that the mail was delivered: I sent an important check payment to my bank by certified mail.",9
certified public accountant,"  or CPA n.  in the USA, an accountant who has passed  examinations required by the state licensing officials: A CPA does the accounting for  a business and also prepares tax returns.",9
chain reaction,  n. 1 a chemical or physical action that creates other actions 2 a series of events in which one event causes the next: The revolution in that country set off a chain reaction of other revolutions in neighboring  countries.,9
chaise longue,"/ezl, land/  or chaise lounge /ezland, tes/ n. a type of chair with a long flat part to support the legs",9
chamber of commerce,"  n. an association to which businesses belong in a town, city, or region: Business people talk about increasing their business at chamber of commerce  meetings.",9
change of life,  n. See: menopause.,9
characteristic,"/krktrstk/  adj. typical: It is characteristic of him to say positive things.  n. a special quality, (syn.) a trait: The ideal person for the job has these characteristics: ten years' experience and an advanced degree. -adv. characteristically.",9
charge account,  n. the right and privilege to buy things from a business and pay for them later: I opened a charge account at the department store.,9
charley horse,"/trlihrs/  n.infrml. a cramp or stiffness in a muscle, esp. in the leg, from injury or too much exercise",9
charter flight,  n. an airplane rented or hired for a special trip and not part of a regular airline: We took a charter flight from San Francisco to Tokyo.,9
charter member,"  n. one of the first members of an organization, club, etc.: In the 1950s, people became charter members of the American Express charge card.",9
checking account,  n. an account at a bank against which checks can be written: I opened a checking account with a $500 deposit. See: savings account.,9
checks and balances,"  n.pl. a system in which one group limits the power of another: In the USA, the Congress, the Supreme Court, and the Executive Branch limit each other's power in a system of checks and balances.",9
Chief Executive,  n. the President of the USA,9
Chief Executive Officer,  or CEO n. the top person in a business: The Chief Executive Officer runs the company day-to-day.,9
Chief Financial Officer,  or CFO n. the top financial person in a business: The Chief Financial Officer deals with banks to get loans for the company.,9
Chief Justice,  n. the top judge: The Chief Justice of the Supreme Court hands down the court's decisions.,9
chili con carne,"/tliknkrni, kn/  n. a dish of bits of meat and often beans in a hot, spicy sauce made with chili peppers or chili powder",9
Christmas Eve,  n. the time from evening to 12 midnight on December 24th: Many Christians go to church on Christmas Eve.,9
Christmas tree,  n. a natural or artificial pine tree decorated with lights and colorful ornaments: Many American Christians put up Christmas trees in their houses in December.,9
chronological,"/krnldkl/  adj. of the order of events as they happen over time, (syn.) sequential: A television reporter gave a chronological description of the football game. -adv. chronologically.",9
chrysanthemum,"/krsnmm/  n. a plant with large, showy flowers in late summer and fall: They planted many different colors of chrysanthemums in their garden.",9
Cinco de Mayo,"/skodemayo, e/  n. May 5, a celebration of the defeat of the French military in Mexico in 1862: Mexicans and Mexican-Americans celebrate Cinco de Mayo.",9
cinematographer,/snmtgrfr/  n. a person who operates the camera in making a movie,9
circumference,"/srkmfrns, frns/  n. 1 the distance around a circle  2 the distance around the outer boundary of s.t. round or circular: The circumference of the earth is over 40,000 km (nearly 25,000 miles).",9
circumstantial evidence,"  n. [U] indirect evidence about a crime that no one actually saw happen: Police found the man's knife at the murder scene, but that was only circumstantial evidence.",9
citizens band,"  n. in the USA, radio frequencies available to ordinary citizens to communicate with each other: Truck drivers often talk with each other on their CB radios. -abbr. CB.",9
civil disobedience,"  n. [U] peaceful noncooperation with governmental policy and laws, as a way of saying that you disagree with them: As an act of civil disobedience, protesters blocked traffic to the capitol.",9
civil service,"  n. [C;U] government employees and the governmental work that they do: The civil service does not include the lawmaking, military, or judicial parts of government. See: bureaucracy. -n. civil servant.",9
clarification,/klrfken/  n. [C;U] an explanation or correction: Government officials often issue clarifications of their earlier statements.,9
class action suit,"  n. a lawsuit brought against s.o. or s.t. by a group of people with the same complaint: When the chemical plant blew up and killed thousands of people, a lawyer brought a class action suit against it.",9
class-conscious,"  adj. aware of what part of society one belongs to: He's so class-conscious that he feels too good to associate with some people, and he worries that he isn't good enough for others.",9
classification,"/klsfken/  n. [C;U] a category, esp. one used for formal purposes by government or science: The classification of steel is as a metal.",9
classified ad,"  n. a brief advertisement printed in a special section of a newspaper or magazine with others of the same kind, offering or asking for goods or services, jobs, etc.Thesaurus: classified ad a want ad.",9
claustrophobia,"/klstrfobi/  n. [U] a fear of small, closed-in places: She gets claustrophobia in elevators and closets. -adj. claustrophobic.",9
clearinghouse,"/klrhas/  n. -houses /hazz/ an office in which checks, accounts, or information is processed: Banks maintain clearinghouses to settle checks drawn between them.",9
cloak-and-dagger,"  adj. mysterious and full of adventure, esp. spying: He writes cloak-and-dagger stories about spies.",9
close quarters,"/klos/  n.pl. 1 a very close, face-to-face position: Soldiers fought at close quarters with knives. 2 crowded conditions: Sailors live in close quarters on submarines.",9
closed-circuit television,"  n. [U] TV broadcasts sent out over wires, instead of through the air: That big university holds some of its classes over closed-circuit television.",9
close-fitting,/klosft/  adj. fitting tightly around the body: Professional bicycle riders wear close-fitting clothes.,9
close-mouthed,"/klosmad, mat/  adj. saying little, (syn.) secretive: He is close-mouthed about his past.",9
club sandwich,  n. -wiches a thick sandwich made with three pieces of bread,9
cocker spaniel,"/kkr/  n. a type of small dog with long ears and long, soft fur",9
coeducational,/kodkenl/  adj. referring to the education of both male and female students in the same school or college: My son and daughter both go to coeducational colleges. -n. [U] coeducation.,9
collateralize,"/kltrlaz/  v. [T] -ized, -izing, -izes to provide collateral for: She collateralized a car loan by signing over ownership of it to the bank.",9
collection agency,"  n. -cies a business that collects money owed other businesses who are unable to collect it themselves: Some of our customers refuse to pay, so we gave their names to a collection agency.",9
collective bargaining,"  n. [U] negotiations between representatives of workers and management over wages, working conditions, and extra benefits: Collective bargaining started between officials of the workers' union and management.",9
college degree,"  n. in the USA, a diploma from a university or four-year college: She has a college degree in chemistry.",9
commercial bank,"  n. in the USA, a bank offering checking and savings accounts, and mortgages for both individuals and businesses: There is a commercial bank, like Citibank, on nearly every corner in New York City.",9
commercialize,"/kmrlaz/  v. [T] -ized, -izing, -izes 1 to change s.t. so that making money is its main goal: This used to be a quiet beach that few people knew about, but it's been commercialized, and is now covered with  hotels. 2 to cheapen the quality of s.t. for larger profits: A large company commercialized that wonderful mustard to make more money from its good name.",9
commissioned officer,"  n. an officer in the military with the rank of lieutenant, captain, colonel, or general",9
common knowledge,  n. what most people know: It is common knowledge that the national debt is huge.,9
Common Market,  n. a group of European countries that cooperate with each other in trade: The Common Market was a step toward the European Union.,9
common property,"  n. [U] property belonging to both husband and wife: For their divorce, the couple agreed to divide common property on a 50-50 basis.",9
communication,"/kmyunken/  n. 1 [U] an act of passing on information, feelings, etc.: the communication of the news on TV 2 [C] the message itself: That communication is clear. 3 [U] understanding: There is no communication in this company; no one knows what is going on.",9
communicative,"/kmyunktv, ketv/  adj. 1 willing and able to communicate: She is communicative about how she feels. 2 about the ability to communicate: one's communicative skills, like speaking and writing",9
community college,"  n. in the USA, a two-year college, (syn.) junior college: She is studying at a community college.",9
companionship,"/kmpnynp/  n. [U]  a condition of being together with s.o.,  (syn.) friendship: She has a pet dog for  companionship.",9
compartmentalize,"/kmprtmntlaz, kmprt/  v. [T] -ized, -izing, -izes to put  s.t. or s.o. into a category: Students are  compartmentalized into separate classes for beginning, intermediate, and advanced speakers of English.",9
complementary,"/kmplmntri/  adj. An angle that, when added to a second angle (or angles), will combine to form a 90-degree angle: A 31-degree angle is complementary to a 59-degree angle, because their sum is 90 degrees. See: compliment.",9
complex fraction,  n. a fraction that contains another fraction or fractions in its numerator or denominator: The complex fraction 3   5/8/9 can be simplified to 9.,9
complimentary,"/kmplmntri, tri/  adj. 1 expressing praise, (syn.) admiring: She made complimentary remarks to the restaurant owner about the good food. 2 free,  without charge: The owner gave her a complimentary glass of wine.",9
comprehensible,"/kmprhnsbl/  adj. capable of being understood, (syns.) clear, intelligible: Her writing is quite comprehensible.",9
comprehension,/kmprhnn/  n. [U]   1 an event of understanding  2 the ability to get the meaning of s.t.: His comprehension of what is said in class is good.,9
comprehensive,"/kmprhnsv/  adj. that which includes everything, (syns.) all encompassing, total: Our company has a comprehensive health plan that covers expenses for doctors, hospital, medicine, and dental care.",9
computer language,  n. a set of instructions that tells the computer what to do with  information,9
concentration,/knsntren/  n. 1 [U] total attention to s.t.: He studies his textbook with complete concentration. 2 [C] a close grouping of s.t.: There is a concentration of five Japanese restaurants on 14th Street.,9
concentration camp,  n. a type of prison camp where captured soldiers or ordinary people thought to be enemies of the state are kept: Millions of people died in Nazi concentration camps.,9
condescending,"/kndsnd/  adj. having a self-important manner toward others, (syns.) disdainful, patronizing: He has a condescending attitude toward everyone.",9
confederation,"/knfdren/  n. an organization of people, states, etc., united in a common purpose: A confederation of workers formed a labor union.",9
conference call,"  n. a telephone call made between three or more people: We organized a conference call among employees in New York, Chicago, and Denver.",9
confidence man,"  n. men a person who cheats others out of their money, (syns.) a con man, a swindler: A confidence man swindled the old lady out of her savings. See: con man.",9
configuration,"/knfgyren/  n. an arrangement of things, usu. related to each other: With the furniture in this configuration, we have much more space. -v. [T] configure /knfgyr/.",9
conflagration,"/knflgren/  n.frml. a large, destructive fire: The conflagration destroyed the entire town.",9
conflict of interest,"  n. conflicts of interest one activity that conflicts with another, thereby questioning the person's ability to act honestly: He's a government official who sets controls for the auto industry, so his owning stock in that industry represents a conflict of interest.",9
congratulations,"/kngrtlenz,  grdd/  n.pl. an expression of praise or pleasure for s.t. well done or important: Congratulations on the new baby! -adj. congratulatory /kngrtltri, grd/.Thesaurus: congratulations Best wishes! Many happy returns! Well done!",9
conscientious,"/knins/  adj. careful about doing things one is supposed to do  and doing them well, (syns.) thorough, painstaking: She does all her work in a conscientious manner. -adv. conscientiously; -n. [U] conscientiousness.",9
consciousness,/knsns/  n.adj. [U]  1 the state of being awake: The boxer regained <n.>consciousness after a minute. 2 awareness: Minority groups in the USA have <adj.>consciousness-raising events to make others aware of their concerns and problems.,9
consideration,"/knsdren/  n. 1 [U] careful thought: The buyer gave the offer careful consideration and said, ""Yes."" 2 [U] careful attention to the feelings and wishes of others: After my mother's death, many people showed consideration for my sadness. 3 to take into consideration: to treat s.o. or s.t. specially, (syn.) to make allowances for: We must take the rainy weather into consideration and allow more time to travel to the airport. 4 to take s.t. under consideration: to think about seriously: I asked my boss for a raise, and she said she will take the matter under consideration. 5 in consideration of: because of, in view of: In consideration of my good work, she gave me a raise. 6 for (a) consideration: payment of money: The lawyer said that he would handle the company's legal problem for a consideration, that is, $500 an hour.",9
constellation,/knstlen/  n. a grouping of stars that looks like an animal or other thing: The Big Dipper and Little Dipper are constellations that we see in the sky at night.,9
consternation,"/knstrnen/  n. [U] surprise, confusion, and often anger: We were full of consternation when the speaker failed to appear at our celebration.",9
consumer credit,"  n. [U] the funds (money) made available to the public by banks and businesses through credit cards and delayed payments to finance the purchase of consumer goods (TV's, cars, etc.): Last year, the amount of consumer credit that was not paid was $50 billion.",9
consumer goods,"  n.pl. articles necessary for daily living, such as food, clothes, and everyday things: The market for consumer goods is huge, but so is the competition.",9
consumer price index,"  n. the average cost, published monthly, of a group of consumer goods, such as bread, milk, chicken, etc, in comparison to their past cost: The consumer price index keeps going up as a result of inflation. See: cost-of-living index.",9
contemporaneous,/kntmprenis/  adj.frml. occurring at the same time as s.t. else: Two scientists at the university worked on separate but contemporaneous experiments.,9
continent (1),/kntnnt/  n. one of the seven great land masses in the world: People travel to the European Continent from all over the world. -adj. continental /kntnntl/.,9
continent (2),"  adj. 1 able to control one's urination and bowel movement: Babies wear diapers because they are not yet continent. 2 using self-restraint, esp. by not having sex, (syns.) abstinent, chaste: Those priests stay continent.",9
continuing education,"  or continuing ed. /d/ n. 1 courses taken in new topics or advances: Doctors take continuing education on new advances in medicine. 2 education taken, esp. by adults, on a part-time basis, (syn.) adult education: That college offers continuing  education courses in foreign languages,  accounting, etc.",9
contraception,"/kntrspn/  n. [U] the use of any method that prevents a woman from becoming pregnant, (syn.) birth control: That couple practices contraception by using a  condom.",9
contraceptive,"/kntrsptv/  n.adj. a device or drug such as a condom, diaphragm, or pill used to prevent pregnancy (making babies): She takes the (birth-control) pill, which is an oral <n.> contraceptive.",9
control tower,  n. the building in an airport where air traffic is routed in and out of the airport: The people who work in a control tower pay close attention to where each airplane is located.,9
