word,definition,weight
aerospace,/rospes/  n. 1 the air surrounding the earth 2 the earth's atmosphere and outer space adj. related to flight in outer space: The country's aerospace program has made much progress.,9
aesthetic,"/stk, s/  adj. related to understanding and liking beauty and art: As an artist, she has a well-developed aesthetic sense. -adv. aesthetically; -n. [U] aestheticism /stszm, s/.",9
affection,"/fkn/  n. [U] 1 a feeling close to love, warmth for s.o.: He feels affection for his grandchildren. 2 tender actions, such as hugging and kind words: The child needs his mother's affection.Thesaurus: affection 1 love, tender feelings 2 hug(ging), kiss(ing), caress(ing). Ant. hate. ",9
affidavit,/fdevt/  n. a written statement that a person swears is true before a notary public or other official: I gave an affidavit to the judge about the accident I witnessed.,9
affiliate,"/flit/  n. a business or person associated with another business or person: Our New York company has an affiliate in Los Angeles.  v. [I] /fliet/ -ated, -ating, -ates to join with, become part of: We became affiliated with this company last year.",9
affluence,"/fluns/  n. [U] wealth, (syn.) prosperity: There is a lot of affluence in  this part of the state because it has many  businesses.",9
afterlife,/ftrlaf/  n. [U] life after death: People of many religions believe in an  afterlife.,9
aftermath,"/ftrm/  n. [U] the usu. bad result, or (syn.) consequence, of s.t.: In the aftermath of the hurricane, many people's homes were destroyed.",9
afternoon,"/ftrnun/  n. the time between noon and evening: At school, we play sports in the afternoon.",9
afterward,"/ftrwrd/  or afterwards adv. after an event, (syn.) subsequently: We went for a walk, and afterward we ate lunch.",9
aggravate,"/grvet/  v. [T] -vated, -vating, -vates 1 to irritate, annoy: He aggravates me by complaining all the time. 2 to worsen, (syn.) to exacerbate: I hurt my foot, then aggravated it by trying to walk on it too soon. -n. aggravation. See: angry, USAGE NOTE.",9
aggregate,"/grgt/  n.[C;U] /grget/ adj.v. -gated, -gating, -gates 1 s.t. made of separate parts: The population of Los Angeles is an aggregate of people from nearly all the world's countries. 2 in the aggregate: with all things considered: In the aggregate, I am happy with my life at this moment. -n. [U] aggregation /grgen/.",9
aggrieved,"/grivd/  adj. wronged, esp. in a moral or legal way, mistreated: She is the aggrieved person whose fiancé did not show up for their wedding.",9
agonizing,/gnaz/  n. [U] adj. the suffering of physical pain or indecision: He did a lot of <n.> agonizing before deciding to quit his job; it was an <adj.> agonizing decision for him. -adv. agonizingly.,9
agreeable,"/gribl/  adj. 1 willing, (syn.) amenable: The buyer is agreeable to paying the price that we asked. 2 friendly, (syn.) congenial: He is an agreeable man who always wants to make people happy. -adv. agreeably.",9
agreement,"/grimnt/  n. 1 [C] a decision between two or more people, an understanding: We have an agreement not to talk about certain things. 2 [C] a written arrangement: We reached an agreement and signed it yesterday. 3 to be in agreement: sharing the same view or opinionThesaurus: agreement 1 a mutual understanding, having like thoughts, accord  2 a deal, contract. Ant. disagreement.",9
aimlessly,"/emlsli/  adv. 1 without purpose: She talked aimlessly, because she disliked silence. 2 without direction: He walked around aimlessly trying to find a way out of the woods.||He went aimlessly through life. -adj. aimless.",9
air force,  n. the part of a nation's military force that flies planes: The air force flies planes around the country's border.,9
albatross,"/lbtrs, trs/  n. -es 1 a large seabird 2 fig. a problem, s.t. stopping progress: The man cannot read, which is an albatross around his neck.",9
alchemist,/lkmst/  n. a scientist of the Middle Ages who tried to change other metals into gold -n. [U] alchemy.,9
alcoholic,"/lkhlk, h/  adj. related to alcohol: The alcoholic content of some beers and wines is as high as 12-13 percent.  n. a person who has great difficulty not drinking alcohol, because he or she suffers from the disease of alcoholism: He is a recovering alcoholic; he used to drink a lot of alcohol, but now he never drinks. -n. [U] alcoholism /lkhlzm, h/.Thesaurus: alcoholic n. a heavy drinker | drunk.",9
algorithm,"/lgrm/  n. (in computers) a set of instructions to do s.t. specific: Common computer languages, such as BASIC or FORTRAN, use algorithms to perform their  functions.",9
alleviate,"/liviet/  v.frml. [T] -ated, -ating, -ates to make less difficult (painful, etc.), (syn.) to relieve: The medicine alleviated the pain. -n. [U] alleviation.",9
alligator,"/lgetr/  n. a large animal (reptile) of the crocodile family, but with a shorter, broader head: Both alligators and crocodiles have long bodies and tails, short legs, and strong jaws with sharp teeth.",9
allowance,"/lans/  n. 1 money for everyday expenses: We give our son a weekly allowance. 2 (in business) money set aside to cover a loss or debt: We set aside an allowance for bad debts this year. 3 to make allowances for: to forgive s.o.'s weaknesses: She made a few mistakes playing the violin, but you should make allowances for her since she's only been playing for a year.",9
alongside,"/lsad/  prep.adv. beside, close to: Another boat pulled alongside <adv.>. The boat is now alongside <prep.> our boat.",9
alter ego,"/ltrigo/  n. egos 1 another side of one's personality: Although she is usually relaxed, her alter ego sometimes gets the best of her and she becomes anxious and tense. 2 a companion, esp. one similar in personality and looks: John seems to have Ed, his alter ego, with him wherever he goes. See: ego.",9
alternate,"/ltrnt/  n.adj. another, s.t. different: If that business does not make what we want, we can always find an <n.> alternate one that does.  v. [I;T] /ltrnet/ -nated, -nating, -nates to move or switch back and forth: We alternate between living in Florida in the winter and Maine in the summer. -n. alternation /ltrnen/.",9
ambiguous,"/mbgyus/  adj. confusing, able to be understood in different ways: The teacher's explanation was ambiguous, so the students still didn't understand the grammar point. -adv. ambiguously; -n.[C;U] ambiguity /mbgyuti/.",9
ambitious,"/mbs/  adj. wanting success: He is very ambitious and wants to make more money. -adv. ambitiously; -n. ambitiousness.Thesaurus: ambitious determined, eager to succeed, driven | industrious. Ant. unambitious.",9
ambulance,/mbylns/  n. a vehicle used to bring sick or injured people to a hospital: An ambulance came to the car accident in two minutes.,9
amendment,"/mndmnt/  n. a change, (syn.) a modification: It is difficult to make amendments to the US Constitution.",9
Americana,"/mrkn, kn/  n. objects, stories, places, etc., typical of the USA, its history, and its people: The covered bridges of New England are examples of Americana.",9
amorphous,"/mrfs/  adj.frml. 1 shapeless, without clear form 2 fig. general, (syn.) vague: An amoeba is amorphous, changing from one shape into another.",9
ampersand,"/mprsnd/  n. the sign (&), meaning ""and"": Many people use the ampersand in note taking and informal letter writing.",9
amphibian,"/mfbin/  n. 1 a type of animal that can live both in water and on land, such as frogs, toads, and newts 2 an airplane that can land and take off on water or land; a vehicle that can go across land and in water: The military uses amphibians for landing troops on beaches. -adj. amphibious.",9
amplifier,"/mplfar/  n. a device that  increases an electronic signal, esp. the level  of sound: The amplifier in my stereo is very powerful.",9
amplitude,"/mpltud/  n. [U] 1 the size of a radio wave See: AM. 2 frml. size, space: The football stadium has seating space of great amplitude. ",9
amusement,"/myuzmnt/  n. 1 [U] pleasure, delight: When our friend starts to tell jokes, our amusement doesn't stop. 2 [C;U] entertainment, fun: For amusement, we go to the movies once a week.  adj. related to pleasure and entertainment: The amusement park has camel and elephant rides.Thesaurus: amusement n. 1 enjoyment 2 recreation. Ant. boredom.",9
analgesic,"/nldizk, sk/  n.adj. a pain-relieving drug that allows one to stay awake while it works: Aspirin is an <n.> analgesic.",9
analogous,"/nlgs/  adj.frml. similar, nearly the same: This summer is analogous to last summer, which was also hot and rainy.",9
anarchism,/nrkzm/  n. [U] a political belief that there should be no government -n. anarchist.,9
anchorage,"/krd/  n. a place where boats can be anchored, (syn.) a mooring: We used the mouth of a river as an anchorage, and we went on land.",9
anchorman,/krmn/  n. -men /mn/ a man who reports news and coordinates and comments on the reports in a news show: Stanley Stunning is the anchorman on the television news program. -n. anchorwoman.,9
ancillary,/nslri/  adj.frml. subordinate: The poor economic situation was an ancillary cause of the war.,9
anecdotal,"/nkdotl/  adj. related to or based on stories, reports, or observations: His manner of speaking is anecdotal; he tells lots of little stories.",9
animation,"/nmen/  n. 1 [C;U] the process of giving life, spirit, motion, or activity: Through animation, the newspaper comic strip became a popular cartoon on television. 2 frml. [U] having life, liveliness: The  animation of the figures in the toy store window was very cleverly done.",9
animosity,"/nmsti/  n. [C;U] -ties hostility, hatred: The two men have a mutual animosity for each other.",9
announcer,"/nansr/  n. a person who tells what will happen or what is happening in an event, e.g., a parade, a sports event, etc.: He is the television announcer for football games.",9
annoyance,"/nns/  n. [C;U] an irritation, bother: His constant complaining is an  annoyance.",9
anonymous,"/nnms/  adj. not being named, unknown: An anonymous person called the police and identified the thief. -adv. anonymously; -n. [U] anonymity /nnmti/.",9
anthology,/nldi/  n. -gies a collection of writings by one or many writers: She received an anthology of the works of 20th century American poets as a gift for her birthday. -v. [T] anthologize /nldaz/.,9
antipasto,"/ntpsto/  n.[C;U] -ti /ti/ or -tos Italian-style snacks used to start a meal: Antipasto often includes sausage, cheese, and olives with bread.",9
antipathy,"/ntpi/  n.frml. [C;U] -thies a strong feeling ranging from dislike to hatred: The antipathy that exists between the two men has lasted for years. -adj. antipathetic  /ntptk, ntp/.",9
antiquity,"/ntkwti/  n. -ties 1 the time of ancient societies: In antiquity, Greek and Roman civilizations lasted for many hundreds of years. 2 ancient objects, such as statues and vases: The museum has many antiquities from ancient Egypt.",9
antitrust,"/ntitrst, nta/  adj. preventing one company from taking over all the sales of a certain good or service in an effort to control the price: The USA's antitrust laws have helped keep telephone rates down. See:  monopoly.",9
apartheid,"/prtet, tat/  n. [U] racial separation of people by government policy: In the Republic of South Africa, the policy of apartheid has officially been stopped.Usage Note: Compare apartheid and segregation. The term apartheid comes from South Africa, where it is no longer officially practiced. Some forms of apartheid may still exist in other countries.",9
apartment,/prtmnt/  n. a room or set  of rooms designed as living space in a build-ing or house: We have a two-bedroom  apartment in a building containing 100  apartments.,9
apathetic,"/ptk/  adj. not interested, (syn.) indifferent: The voters are apathetic about the candidates running for office. -adv. apathetically.",9
apologize,"/pldaz/  v. [I] -gized, -gizing, -gizes to express regret for doing s.t. wrong and usu. to ask forgiveness: The young man apologized to the woman for spilling  coffee on her dress. -adj. apologetic /pldtk/; -adv. apologetically.Thesaurus: apologize to say you are sorry, beg s.o.'s pardon.",9
apparatus,"/prts, re/  n.[C;U] -uses or -us a device or group of devices (machines, tools, wires, etc.) designed to perform a certain task: With their sophisticated apparatus, the scientists were able to determine the epicenter of the earthquake. See: device, appliance.",9
appellate,/plt/  adj. (in law) able to review and change a decision of a lower court: The attorneys submitted their briefs to the appellate court.,9
appendage,/pndd/  n. an extension of s.t.: Fingers and toes are appendages of the hand and foot.,9
appetizer,/ptazr/  n. a small amount of food served before the main meal: We served some crackers and cheese as an appetizer. See: hors d'oeuvre.,9
appliance,"/plans/  n. a device used for a specific function, usu. electrical and used in the home: Major appliances include stoves, refrigerators, washing machines, and dishwashers.",9
applicant,/plknt/  n. a person seeking a specific job: We have 10 applicants for the position of secretary.,9
appointee,/pnti/  n. a person named to  a position: The scientist is the President's  new appointee to the committee on the  environment.,9
apportion,"/prn/  v. [T] to divide s.t., (syn.) to allocate: The federal government  apportioned money among the states. -n. [U] apportionment.",9
appraisal,"/prezl/  n. [C;U] an estimate of the value of s.t., usu. made by an expert: The insurance company required a written appraisal before it would insure the jewels.",9
apprehend,"/prhnd/  v.frml. [T] to capture, arrest: The police apprehended the criminal. -adj. apprehensible /prhnsbl/.",9
arbitrary,"/rbtrri/  adj. unwilling to use reason or listen to others, (syn.) dogmatic: He made an arbitrary decision to sell the house without asking his wife. -adv. arbitrarily  /rbtrrli/.",9
arbitrate,"/rbtret/  v. [I;T] -trated, -trating, -trates to help others reach a decision, (syn.) to referee: The judge arbitrated a disagreement between workers and management.",9
arboretum,/rbritm/  n. -tums or -ta /t/ a garden for the scientific study and public showing of trees and usu. other plants: The city has an arboretum that is nice to walk through on a sunny day.,9
archetype,/rktap/  n. the most typical of a group: Old Mr. Higginbotham is the archetype of the elderly British gentleman.,9
architect,/rktkt/  n. a trained professional who designs buildings and is often in charge of their construction: My friend is an architect who designs school buildings.,9
area code,"  n. [C] in USA and Canada, the first three numbers of a telephone number, used in making a long-distance call: My telephone number in Michigan is 555-6543, area code 313.",9
armadillo,/rmdlo/  n. -los an animal that digs for food and shelter in the ground and has tough skin made of hard plates: The armadillo is found in the American South and in Central America.,9
armistice,"/rmsts/  n. a military truce, a temporary agreement to stop military fighting: The two nations signed an armistice.",9
arrogance,"/rgns/  n. [U] self-importance usu. offensive to others, (syn.) haughtiness: The arrogance of that man annoys everyone.",9
arthritis,"/rrats/  n. [U] inflammation of one or many joints, such as in the hands, hips, and knees, resulting in pain: My mother has arthritis in her knees and hips. -adj. arthritic.",9
artichoke,"/rttok/  n. a small green plant with leaves, whose flower head is cooked and eaten as a vegetable: The growing of artichokes is a big business in California.",9
artillery,"/rtlri/  n. [U] large, powerful guns, (syn.) cannonry: The artillery fired its shells against the enemy.",9
ascendant,"/sndnt/  adj. 1 rising, climbing: The sun is ascendant in the eastern sky. 2 frml. in control, superior: The young woman is in an ascendant position in the company. -n. ascendance.",9
ascension,"/snn/  n. [U] the elevating of s.o. to s.t., ascent: The politician's ascension to power was slow but sure.",9
ascertain,"  [T] /srten/ v.frml. to determine, find out (facts, a situation, etc.): The lawyer ascertained the facts about the  accident. -adj. ascertainable; -n. [U]  ascertainment.",9
asparagus,/sprgs/  n. [C;U] -gus a green vegetable with long pointy stems,9
aspersion,"/sprn/  n.frml. a remark that says s.t. bad about s.o., (syn.) a slur: He hates his competitor and casts aspersions on him constantly.",9
assailant,/selnt/  n. a person who attacks s.o.: The police caught the victim's assailant.,9
assembler,/smblr/  n. a worker who puts together parts of an item being manufactured: She works as an assembler in a factory that manufactures computers.,9
assertion,"/srn/  n. 1 [C] a claim, statement s.t. is true: The lawyer made an assertion that his client was not guilty. 2 [U] the aggressive use of s.t.: The President's assertion of his power to stop the fighting succeeded.",9
assertive,"/srtv/  adj. bold, confident, aggressive: His assertive nature helped him attain his goals. -adv. assertively; -n. [U] assertiveness.",9
assiduous,"/sdus/  adj.frml. hardworking, (syn.) diligent: Being very assiduous, he completed the report well before the deadline. -adv. assiduously -n. [U] assiduousness.",9
assistant,/sstnt/  n. a person who helps another at work: Her assistant types letters and answers the telephone.,9
associate,"/soit, si/  n. a coworker or a person with whom one works as a partner: My associates and I work for the city government.  v. /soiet, si/ -ated, -ating, -ates 1 [I] to work, socialize, or mingle with: We associate with our neighbors at church. 2 [T] to connect in the mind, to correlate: I associate his bad behavior with his difficult childhood.Thesaurus: associate v. 1 to be with, mix with, join together with (people)  2 to correlate, groupwith, link together (ideas). Ant. todisassociate.",9
assumable,"/sumbl/  adj. capable of being taken on by another: We have an assumable mortgage, so any qualified buyer can assume it.",9
assurance,"/rns/  n. a guarantee, pledge: I give you my assurance that I shall pay you on time.",9
astrology,"/strldi/  n. [U] a system of belief in the influence of heavenly bodies (stars, planets, sun, moon) upon human affairs and events: Millions of people believe in astrology and read their horoscope daily. -n. astrologer; -adj. astrological /strldkl/; -adv. astrologically.",9
astronaut,/strnt/  n. a person who flies into outer space: The astronauts trained for years in how to navigate their spacecraft.,9
astronomy,"/strnmi/  n. [U] the science of outer space, of heavenly bodies, and related phenomena: I took a course in astronomy in college, because I was interested in the  planets.",9
Astroturf,"/strotrf/  n.TM [U] tough, man-made ground covering used instead of grass: The playing fields of many sports stadiums are covered with Astroturf.",9
athletics,"/ltks/  n.pl. sports in general: He was good in athletics in high school, where he played baseball and football.",9
atom bomb,  n. a bomb of great destructive force powered by the splitting of atoms: Dropping atom bombs on Japan brought the end of World War II.,9
atrocious,"/tros/  adj. 1 very cruel: The military committed atrocious acts of violence in shooting women and children. 2 disgusting, sickening: His manners are atrocious. -adv. atrociously; -n. atrocity /trsti/ -ties.",9
attendant,"/tndnt/  n. a person who performs a service, esp by waiting on others: The attendant in the washroom hands out towels and brushes off people's clothes.  adj.frml. accompanying or in connection with: The politician negotiated the peace settlement and its attendant problems.",9
attention,"/tnn/  n. [U] 1 looking and listening: His attention to his work was constantly interrupted by the ringing telephone. 2 work, care: Sick people need attention from doctors and nurses. 3 a military command to stand in a still, straight way: The sergeant ordered the troops to stand at attention.Thesaurus: attention 1 one's concentration on s.t., one's interest  2 treatment. Ant. inattention.",9
attentive,"/tntv/  adj. 1 paying attention, (syn.) alert: Students should be attentive in class. 2 concerned, considerate: As his parents age, he becomes more attentive to their needs. -adv. attentively.",9
attribute,"/trbyut/  n. a characteristic, quality of a person or thing: He is a handsome man with many other good attributes.  v. [T] /trbyut, byt/ -uted, -uting to credit, be the reason for: I attribute his success to his talent and hard work. -adj. attributable /trbyutbl, by/; -n. [U] attribution /trbyun/.",9
attrition,"/trn/  n. [U] a slow lessening in number or strength through resignation, retirement, or death: Through attrition, the police department went from 40 members to 23 members in one year.",9
au gratin,"/ogratn, gr, /  adj. (French for) covered with melted cheese and bread crumbs: I had potatoes au gratin with fish for dinner.",9
audacious,"/des/  adj. 1 bold, adventurous, (syn.) brave: The buyer was audacious in his attempt to take over another company. 2 offensive, brazen: The boy was audacious in yelling at his father.",9
authentic,"/ntk/  adj. genuine, real: That dealer in precious coins sells only authentic ones, not fakes. -adv. authentically.",9
authority,"/rti, r/  n. 1 [U] power, control: The company's owner granted each manager authority to spend up to $10,000 on travel and entertainment. 2 [C] -ties expert, master: Professor Smith is an authority on chemistry. 3 pl. authorities people in charge, specifically government: Government authorities arrested a swindler. 4 to be in authority: to be in charge: Teachers are in authority in the classroom. 5 to have the authority: to have permission (the power, right, etc.): Managers have the authority to use money from their budgets.Thesaurus: authority 1 the right, authorization. Ant. powerlessness.  3 the police, powers that be.",9
authorize,"/raz/  v. [T] -ized, -izing, -izes to grant permission (authority, the right, etc.): Congress authorizes the government to tax the people.",9
autocracy,"/tkrsi/  n.[C;U] -cies an extremely strict government run by one person, despotism: Before the revolution, the government of the country was an autocracy.",9
autograph,/tgrf/  n. one's signature given to an admirer: The boy asked a famous baseball player for his autograph.  v. [T] to write one's signature on s.t.: The player autographed the boy's baseball.,9
automaker,/tomekr/  n. a manufacturer of automobiles: American automakers face strong competition from both Japan and Europe.,9
automatic,"/tmtk/  adj. self-operating, working by itself: Once he turns on his computer, the appearance of the main menu is  automatic.  n. an automatic weapon (pistol, rifle, machine gun): Once I pull the trigger, my  automatic fires all nine bullets. -adv. automatically.",9
auxiliary,"/gzlyri, zlri/  adj. kept  for use in case another fails, (syn.) standby: An auxiliary electricity generator is kept  in working condition in case the main power unit fails.  n.pl. -ries a reserve unit: The police auxiliary works evenings and weekends to help the regular police force.",9
available,"/velbl/  adj. 1 free, uncommitted: I am available tomorrow to see you. 2 in good supply: Office supplies are available at many stores in the city. -n. [U] availability /velblti/.Thesaurus: available 1 ready to meet, accessible (person)  2 obtainable, on hand | vacant(property). Ant. unavailable.",9
avalanche,"/vlnt/  n. 1 a sudden breaking away of snow, rocks, or mud down a  hill or mountain: Several skiers were buried  in the avalanche. 2 fig. a response from a  great number of people: An avalanche of protest came from those opposed to a tax  increase.",9
avocation,/vken/  n. a hobby: Her avocation is reading about history.,9
avoidance,"/vdns/  n. [U] 1 the act of bypassing s.t., going around s.t.: The avoidance of dangerous areas is a good idea. 2 an evasion, escape: The criminal's avoidance of arrest mystifies the police. 3 not using s.t., abstention from s.t.: His avoidance of cigarettes and alcohol has made him healthier.",9
awake (1),"/wek/  v. awoke, /wok/ or awoken, awaking, awakes 1 [T] to get someone up from sleep: The mother awoke the baby from its afternoon nap so it would sleep through the night. 2 [I] to wake up, to come out of a sleeping state: I awoke to find I was late for work.",9
awake (2),"/wek/  adj. to be alert, not sleeping: The baby is awake now and wants to eat.",9
ayatollah,/atol/  n. a male Shiite Muslim religious leader: The ayatollahs believe in basic Muslim  teachings.,9
backpedal,"/bkpdl/  v. 1 [I;T] to try to pedal backwards 2 fig. [I] to take back s.t. one said, (syn.) to retract: She started to call him a mean person and backpedaled and said he was strict.",9
backstage,"/bksted/  n.adv. the area behind the stage in a theater: After the performance, I went <adv.> backstage to meet the actors.",9
backtrack,"/bktrk/  v. [I] 1 to return along the same path: The hunter got lost in the snow and had to backtrack home. 2 to reverse or take back what one has said: When the politician realized that her new policy angered the voters, she backtracked, saying that it was only one approach to the problem.",9
backwoods,/bkwdz/  n.pl. used with a sing. v. forest land far from any village or town: Not many people live in the backwoods.,9
badminton,/bdmntn/  n. [U] a court game like tennis in which one hits a small object across a high net: Badminton can be played by two or four people.,9
bailiwick,"/balwk/  n. 1 a person's area of authority, importance, etc.  2 not to invade s.o.'s bailiwick: I don't want to invade the accountant's bailiwick by giving you advice on money matters.",9
ball game,"  n. 1 lit. sporting event, such as baseball or football  2 fig.infrml. situation: With a new product coming on the market, it is a new ball game (a new competitive situation).",9
ballerina,/blrin/  n. a female ballet dancer: Ballerinas dance on their toes.,9
bamboozle,"/bmbuzl/  v.infrml. [T] -led, -ling, -les to cheat, (syn.) to swindle: I was bamboozled when I bought that bad used car.",9
Band-Aid,"/bnded/  n. 1 a small, selfadhesive bandage: He put a Band-Aid over a cut on his finger. 2 infrml.fig. a small solution to a big problem: The government passed new laws against drug dealers, but that is only a Band-Aid solution that won't work.",9
bandstand,"/bndstnd/  n. a platform on which a musical band plays, usu. outdoors: A small orchestra played on the bandstand in the park.",9
bandwagon,"/bndwgn/  n. 1 a decorated truck with a flat open back on which a musical band can play  2 infrml.fig. to jump on the bandwagon: a popular idea or cause, esp. political: When a cause like reducing taxes becomes popular, politicians jump on the bandwagon to support it.",9
barbarian,"/brbrin/   n. a crude, uncivilized person -n. [C] barbarism /barbrzm/ [C;U] barbarity; -adv. barbarically. ",9
barebones,"/brbonz/  adj.infrml.fig. with the basics, (syn.) essentials only: The company is a barebones operation with a small staff, old furniture, and two telephones.",9
barnstorm,/brnstrm/  v. [I] to give many political speeches in different places: The politician barnstormed through the western part of the state.,9
barometer,/brmtr/  n. an instrument that measures air pressure: A barometer shows possible changes in the weather. -adj. barometric /brmtrk/,9
barracuda,/brkud/  n. a fish with sharp teeth of warm (tropical) oceans that attacks meanly: Swimmers get out of the water quickly when they see barracudas.,9
barricade,"/brked/  n. a barrier that stops people from passing: Firefighters put up barricades so traffic could not drive by the burning house.  v. [T] -caded, -cading, -cades to block entrance with a barricade: A criminal barricaded himself in a house.",9
bartender,/brtndr/  n. a person who makes and serves alcoholic drinks as a job: She is a bartender at a popular restaurant.,9
battalion,/btlyn/  n. 1 a unit of 500- 1000 soldiers  2 fig.a large group of people: The politician brought a battalion of supporters to the demonstration.,9
beautiful,"/byutfl/  adj. pleasing to the sen-ses or the mind: The mountains are beautiful in the summer. See: handsome, USAGE NOTE.Thesaurus: beautiful (women) very pretty, stunning, gorgeous | (places/things) lovely, magnificent, wonderful. Ants. ugly, unattractive.",9
bedfellow,"/bdflo/  n. 1 a person who shares a bed with s.o. else  2 fig. a partner, associate: Business makes bedfellows of people who would not usually work with each other.",9
bedridden,/bdrdn/  adj. staying in bed because of illness or weakness,9
bedspread,"/bdsprd/  n. a covering, usu. decorative, put over the bedding",9
beginning,"/bgn/  n. [C;U] a start, (syn.) the commencement: At the beginning, our business grew slowly.",9
