word,definition,weight
air,"/r/  n. [U] 1 the gases that surround the earth and the gas we breathe: The air in the countryside is cleaner than the air of the city. 2 the actions or appearance: She has the air of a lady. 3 n.pl. false behavior: He sometimes puts on airs pretending that he's rich, when he is not. 4 in the air: a general feeling, scent: Spring is in the air. 5 on or off the air: to start or stop showing or playing on TV or radio: My favorite radio station goes on the air at 5:00 A.M. and goes off the air at 1:00 P.M. 6 to be full of hot air: to speak foolishness, nonsense: He doesn't know what he's talking about; he's full of hot air. 7 to take the air: to go for a walk: It's hot in here; I think I'll take the air. 8 to walk on air: to be very happy, (syn.) elated: When she heard about her acceptance to college, she was walking on air for days. 9 up in the air: undecided, (syn.) uncertain: We planned on leaving tomorrow, but our plans are up in the air because I feel sick.  v. [T] 1 to put out in the air, esp. to dry or freshen: He hung his clothes in the yard to air. 2 to speak about: He aired his feelings about love and marriage. 3 to show or play on television or radio: Channel 7 aired a show about lions in Africa.Thesaurus: air n. 1 atmosphere | wind, breeze  2 the manner  3 affectations. v. 1 to ventilate (a room). Ant. to stagnate 2 to express to others (feelings, beliefs) 3 to broadcast. Ant. to remain silent.",9
ale,/el/  n. [C;U] an alcoholic beverage similar to beer but with a higher alcohol content: I sometimes enjoy a pint of ale.,9
all,"/l/  adj. 1 of a total: All the students (adults, citizens, etc.) came to the meeting. 2 regarding the most of s.t.: In all honesty, I hate my job. 3 all in: to be exhausted, totally fatigued: The runner finished the race, but afterwards he was all in.  n. 1 all or nothing: unless s.t. is done, all will be lost: We either put more money in the business or close it; it's all or nothing. 2 adv. all the same: no difference: It's all the same to me if he leaves or stays. 3 infrml.fig. and all that or and all that jazz: et cetera, and all else: We moved our furniture, books, refrigerator, and all that jazz to a new apartment. 4 on all fours:  a. (people) on both hands and knees: He got down on all fours to look for the pin that he had dropped. b. (animals) on all four legs: Dogs and cats walk on all fours. 5 the be all and end all: (usu. ironic) a total solution, ultimate happiness: My boss has bought a new computer system, which he sees as the be all and end all of his problems. 6 to give one's all: to give one's total energy (effort, commitment): She gave her all to finish the job on time.  pron. 1 everyone, everything: My friends and I attended a party and all had a good time. 2 all but: most, all except: All but a few people ran toward the speaker.  adv. 1 totally, completely: Jack was upset because he came late and the beer was all gone. 2 for a given time period: It rained all night (day, week, etc.). 3 all along: at the same time, for the whole time s.t. else was happening: He knew all along that he was dying of cancer, but he stayed cheerful. 4 all at once: suddenly, abruptly: The crowd was quiet; then all at once it began to applaud. 5 infrml. all fired up: excited, (syn.) eager: The audience is all fired up by what the speaker has said. 6 all in all: considering everything: It rained for a while, but all in all we had a good time at the picnic. 7 all in good time: eventually: Don't worry; that problem will be taken care of all in good time. 8 all of a sudden: abruptly, by total surprise: We were driving in the country when all of a sudden a deer ran across  the road. 9 all out: with total effort, (syn.) completely dedicated: We have to go all out to finish the job on time. 10 all over:  a. everywhere, covered completely: The dog knocked over the dish, and water spilled all over. b. finished, (syn.) terminated: Our relationship is finished; it's all over between us. 11 all right:  a. well, healthy: I feel all right today. b. OK, yes: Would you like to join us? All right. c. satisfactorily: The motor in the car works all right. d. exclam.infrml. wonderful, great: The football team scored, and a fan shouted, ""All right!"" 12 vulg. all the way: (to have) sex: The couple hugged and kissed, but she refused to go all the way. 13 all things considered: taking everything into account: We made a profit this year, so all things considered, we did well. 14 all told: in total, in sum: All told, five thousand people were at the concert. 15 at all: (used with a negative) totally: I don't like the way that you are behaving at all, so stop it! ",9
and,"/nd, n/  ; strong form /nd/conj. 1 in addition, plus: She likes to fish and to play tennis. 2 added to, plus: 20 and 20 equals 40. 3 then, thereafter: She stopped at the store and bought some groceries.",9
ant,"/nt/  n. an insect with a narrow waist, two bent antennae, and biting jaws, noted for living in colonies and for working hard: Having left their food uncovered while they played softball, the picnickers returned to find the ants eating it.",1
any,"/ni/  pron. 1 some, an amount of s.t.: My friend asked me for some money, but I didn't have any with me. 2 all, a total amount: I told him that later he could have any I have at home. 3 each person or thing in a group: Among our friends, any could see I was poor.  adj. 1 some: I don't have any money. 2 all: I'm going fishing, and I will give you any fish that I catch. 3 each of a group: Any student could pass that test; it was easy.  adv. at all: I was ill yesterday and don't feel any better today. See: at, 13.",9
ape,"/ep/  n. a gorilla, monkey, or other similar animal: The apes in the zoo are a popular attraction.  adv.infrml.slang 1 to go ape: to become very angry: When I gave him the bad news, he went ape and started yelling at me. 2 to be enthusiastic about s.t.: She got a new bicycle for her birthday, and she went ape over it.",9
apt,"/pt/  adj. 1 appropriate, suitable for a situation: The speaker made apt remarks when  answering questions from the audience. 2 intelligent, capable: She is a very apt student and learns quickly. 3 likely to do s.t., (syn.)  liable: She is apt to make mistakes if you pressure her too much. -adv. aptly; -n. [U]  aptness.",9
arc,"/rk/  n.v. [I] 1 a curved path, such as of electricity between two metal rods: An <n.> arc of electricity <v.> arced between the two points. 2 (in geometry) a section of a curve: The diagram showed an <n.> arc between the two points.",9
are,/r/  ; strong form /r/v. [I] present pl. of to be,9
ark,"/rk/  n. a large, ancient ship: Ancient Egyptians sailed in arks.",9
arm,"/rm/  n. 1 one of two parts of the upper human body that extends from the shoulder to the hand: The mother wrapped her arms around her child. 2 the sleeve of a shirt, blouse, jacket, dress, etc., designed to cover the human arm: Is the shirt long enough in the arms? 3 the part of a chair or sofa designed to support the human arm: The arms of the chair were too high. 4 any of the long, usu. narrow parts of a machine: The arm of the turntable is broken, so we can't listen to the old records on the stereo.  v. [T] 1 to provide weapons to s.o.: The military arms its soldiers with modern weapons. 2 to prepare for war: The citizens armed themselves against their enemies.",1
art,"/rt/  n. 1 [U] making or expressing of that which is beautiful: painting, sculpture, architecture, music, literature, drama, dance, etc.: That museum has a great collection of art. 2 [U] the skill to do s.t. well: She knows the art of making good conversation with people.  n.pl. 1 the arts: dance, music, painting, sculpture, poetry, plays, and other writings  2 the liberal arts: literature, music, languages, etc., as distinguished from the sciences: He was a liberal arts major in college.",9
ash,//  n. ashes 1 [U;C] the powdery substance left after s.t. has burned: He dropped his cigarette ash in the ashtray. 2 [U] a type of hardwood tree: Baseball bats are made from ash.,9
ask,"/sk/  v. [I;T] 1 to pose a question: I asked my friend how she felt. 2 to ask for it or for trouble: to do s.t. that is sure to get one in trouble: By not paying her bills, she asked for it; I'm taking her to court! 3 fig. to ask for the moon: to ask for too much: When the vice president demanded double his present salary, he was asking for the moon.Thesaurus: ask 1 to inquire, query frml. Ant. to answer.Usage Note: To ask is the most common verb used to request information or an answer from s.o. To inquire is more formal and often used in writing. To question s.o. implies doubt, such as in: The police questioned a man about the theft.",9
asp,"/sp/  n. a small, poisonous snake of Africa and Asia: In ancient times, people committed suicide by having an asp bite them near the heart.",9
ass,"/s/  n. asses 1 a donkey: The ass is often used as a pack animal in remote mountain terrains. 2 vulg.slang the buttocks 3 infrml.fig. to make an ass of oneself: to behave stupidly: When he drinks too much, he makes an ass of himself.Usage Note: To describe a part of the body, ass is a vulgar term and should not be used in polite company. In American English, the terms posterior and buttocks are used in formal speech and writing: The firefighter was badly burned on his legs and buttocks. Bottom is an informal term used around friends and acquaintances: My mother spanked my bottom when I hit my baby brother. ",9
ate,"/et/  v. [T] simple past tense of to eat: This morning, I ate eggs for breakfast.",9
ATM,"  abbr. for automated teller machineUsage Note: ATMs are found in business districts and shopping malls of all American cities. People use them to get cash from their bank accounts and, in many places, to pay for gas, groceries, and other things. ",1
awe,"//  n. [U] a feeling of great admiration or respect: The boy was in awe of the famous football player and couldn't believe he was going to meet him.  v. [T] awed, awing, awes to create a feeling of awe or admiration: The player awed the boy.",9
bad,"/bd/  adj. worse /wrs/ worst /wrst/ 1 evil: He lies and steals and does many other bad things. 2 poorly behaved: She was bad, so her mother punished her. 3 not of good condition or quality: He has some bad teeth. 4 incorrect, wrong: The letter was returned because the address was bad. 5 not good to eat or drink: The milk has gone bad; it is sour. 6 with a feeling of guilt: I feel bad about the nasty things I said to you. 7 with a feeling of sympathy: I feel bad that you are sick. 8 s.t. extreme, severe, esp. very sick: She has a bad sore throat (toothache, cold, etc.). 9 slang very good: Oh man, can that guy dance; he's bad! 10 bad at: not to do s.t. well: She is bad at spelling words.  11 bad news: a. lit. information about s.t. disappointing: He learned the bad news that he failed the exam. b. slang an annoying or troublemaking person: She never pays back the money she owes; she's bad news! 12 It's too bad: to feel sorry, (syn.) to regret: It's too bad that you have to leave now. 13 infrml. not (so) bad: fair, alright: That movie wasn't so bad. -n. [U] badness.Thesaurus: bad 1 wrong, criminal 2 naughty, disobedient 3 poor 5 become spoiled 6 ashamed, guilty 7 sorry. Ant. good. 9 excellent, wonderful.",9
bag,"/bg/  n. 1 a sack, a container made of paper, plastic, cloth, etc.: I carried the groceries home in a shopping bag. 2 pej.slang disagreeable old woman  3 slang my bag: an interest, favorite pastime, (syn.) a hobby: I really like to play the guitar; it's my bag! 4 in the bag: infrml.fig. a. certain, sure: That business deal is in the bag. b. drunk, intoxicated: After drinking five beers, Amy was in the bag. 5 to let the cat out of the bag: to reveal a secret by mistake v. bagged, bagging, bags 1 [T] to bag groceries: to put food purchases in bags  2 [T] to bag game: to kill animals by hunting  3 [I] his pants bag: to hang loosely See: bag lady; mixed bag.Thesaurus: bag n. 1 a shopping bag, plastic bag, paper bag, sack. ",9
ban,"/bn/  n. a stop, block: The government put a ban on the sale of that drug.  v. [T] banned, banning, bans to block, (syn.) to forbid: They banned pornography in that city.",9
bay,"/be/  n. 1 a large body of water around which the land bends: Ships are anchored in the bay. 2 a curved area set into or coming out of a wall, (syn.) an alcove: There was a small couch and table in the bay.||a bay window 3 a section set off from the other parts of a building, (syn.) a wing  4 a long, high sound a dog makes: The sound of the dog's baying filled the air. 5 a reddish brown color, esp. of a horse: She rode a handsome bay mare. 6 a tree with shiny, thick leaves used in cooking 7 to bring to bay: to put s.o. in a situation from which there is no escape: The dogs brought the fox to bay.",9
BBQ,/brbkyu/  n.abbr. for barbecue,9
bed,"/bd/  n. 1 a piece of furniture for sleeping: I have a single bed in my bedroom. 2 a platform for other things: That house is built on a bed of cement. 3 formations of the earth: The bottom of the ocean is called the seabed. 4 a small area of land used for growing s.t.: Keep the dog out of the flower bed. 5 infrml. a bed of roses: a good, easy situation in life: Working in a coal mine is no bed of roses. 6 infrml. to get up on the wrong side of the bed: to be irritable, angry: She got up on the wrong side of the bed and was irritable all day. 7 to make a bed: to put on or make neat the sheets, blankets, etc. of a bed: I make the bed every morning by smoothing the sheets and putting on the bedspread. 8 to put to bed: to take a child to its bed  9 to take to one's bed: to go to bed, esp. when sick: He had a terrible headache and took to his bed to rest.  v. bedded, bedding, beds phrasal v. [I] to bed down: to find or make a place to sleep for the night: Campers bed down in sleeping bags on the ground after they put up their tent.",1
bee,"/bi/  n. 1 an insect with wings that stings and makes honey  2 to have a bee in one's bonnet: always to be talking about a single idea, an obsession: She has a bee in her bonnet; she is always talking about the dangers of illegal drugs. See: busy bee.",9
beg,"/bg/  v. begged, begging, begs 1 [I;T] to ask for s.t., usu. money, on the street: A poor woman begged for coins. 2 [I;T] to ask strongly, (syn.) to plead: He begged her to stay with him, but she left anyhow. 3 frml. to beg the question:  a. to know the answer to a question: ""He has found a job hasn't he?"" ""The fact that he leaves at the same time every morning dressed for work begs the question."" b. to try not to answer the question. (syn.) to evade: When his mother asked him if he had finished his homework, the student begged the question by saying it was difficult. 4 frml. to beg to differ: to disagree politely: I beg to differ with you, but it was not sunny last Thursday. 5 phrasal v. [I] to beg off: to make excuses and not do s.t. one has agreed to: He agreed to work on Saturday, then begged off at the last moment.",9
bet,"/bt/  n. 1 an agreement that the person in the wrong must give the other s.t., such as a sum of money, etc.: People place bets on sporting events. 2 the terms of a bet: The bet is that our team will score 20 points more than yours. 3 the item or sum of money risked in a bet: The bet is $25. 4 infrml. best bet: best way, opportunity to succeed: Your best bet is to finish school, then look for a job. 5 to make a bet: to wager: She made a bet on the horse race and won.  v. betted, betting, bets 1 [T] infrml.fig. to say s.t. as in a bet: I bet it's going to rain. 2 infrml.fig. to bet your bottom dollar or boots: to know s.t. is true or sure: You can bet your bottom dollar (or) your boots that the sun will come up each morning. 3 infrml. you bet: of course, certainly: You bet I'd like to go to the play!Thesaurus: bet n. 1 a wager.  v. 1 to gamble, wager/predict.",9
bib,/bb/  n. a cloth with strings to tie around the neck: Babies wear bibs when they eat.,9
bid,"/bd/  v.frml. bid, bidding, bids 1 [T] to ask or command: She bid the child stand still. 2 [I] to make a monetary offer: We bid to sell at $10 per pound.  n. 1 an offer to sell s.t. at a certain price: Our company made a bid to sell coffee beans at $10 per pound. 2 an attempt, try: She bid for the job opening, but did not get the job.",9
big,"/bg/  adj. bigger, biggest 1 large in size, shape, etc.: She has big feet. 2 important: Our company has a big meeting next month. 3 a big fish in a small pond: an important, powerful person out of place: Working in the regional county office, she is a big fish in a small pond. 4 infrml. big on s.t.: enthusiastic: He is very big on baseball and goes to a game twice a week. 5 infrml. bigger fish to fry: more important things to do: The company president has bigger fish to fry and can't be bothered by the problems of a little employee like me. 6 big of (s.o.): generous: It's big of you to drive me home so late at night.Thesaurus: big adj. 1 (person) tall, fat, muscular | (area, building) large, huge, spacious. Ant. small.2 significant, vital. Ant. insignificant.  n.infrml. Mr. Big: important person: He is Mister Big in that company. ",9
bin,"/bn/  n. a large, open container: That store keeps nails and screws in bins.",1
bit,"/bt/  n. 1 a small amount of s.t.: She brushed a bit of dirt off of her pants. 2 a little, some: I am having a bit of trouble (bad luck, difficulty, etc.) with my car. 3 little-by-little: He is building a house bit-by-bit. 4 one's part, contribution to a cause: Do your bit for your political party by working hard during the election. 5 in computers, a unit of information in a language that has two units: Eight bits is equal to one byte. 6 a bar (on a bridle) that goes into a horse's mouth to control it: He pulled on the reins, and the bit put pressure on the horse's mouth, causing it to stop. 7 a small piece: The bowl broke into many bits. 8 a grooved, pointed metal part of a tool: I lost one of the bits for my drill. See: two-bits.",9
boa,"/bo/  n. 1 a long, powerful snake: Boa constrictors wrap themselves around animals and crush them. 2 a long scarf of feathers or fabric: a feather boa",9
bob,"/bb/  v. [I] bobbed, bobbing, bobs 1 to move up and down on water: The little boat bobbed on the waves 2 phrasal v. to bob up: to appear suddenly: A good opportunity to buy a car just bobbed up.",9
bog,"/bg, bg/  n. a wet, muddy area that is difficult to cross, (syns.) a swamp, a quagmire  v. [I;T] bogged, bogging, bogs bogged down: to have too much work, (syn.) to be overburdened: She is bogged down in a big project.",9
boy,"/b/  n. 1 a young human male: When he was a boy, he loved sports. 2 a son, esp. young  exclam. of delight, surprise, or disgust: Boy! This hot weather is too much for me! -n. [C;U] boyhood; -adj. boyish.",9
bra,/br/  n. short for brassiere,9
BTU,/bitiyu/  abbr. of British thermal unit,1
btw,"/biti dblyu/  adv. & abbr. for by the way, for adding a new thought to the message: Btw, you were right.",9
bud,"/bd/  n. [C;U]  1 a young, not fully grown leaf or flower  2 infrml.short for buddy v. [I] budded, budding, buds to grow buds: Trees and flowers bud in the springtime.",9
bug,"/bg/  n. 1 an insect: There are bugs in that dirty kitchen. 2 infrml.fig. a tiny organism that causes diseases, (syn.) a germ: I'm sick; I've caught a flu bug. 3 fig. a hidden listening device: The spy hid a bug in the lamp. 4 fig. a fault in an electrical or mechanical device or system: My computer program has a bug in it; every time I type ""n"", it goes to the bottom of the page. 5 infrml.fig. an interest, fad: the travel bug  v. bugged, bugging, bugs 1 infrml. [T] to annoy: His boss keeps bugging him to work faster. 2 fig. [T] to use a listening device, (syn.) to eavesdrop: Police bugged the criminal's telephone. 3 phrasal v. [I] to bug off: to leave, go away: Bug off! You annoy me! 4 phrasal v. [I] to bug out: to leave quickly: As the police arrived, the thief bugged out. 5 infrml. a bug in s.o.'s ear: a suggestion",9
bum,"/bm/  n. 1 pej. a person who asks for money, food, etc., (syns.) beggar  2 pej. a bad person: He drinks and does not take care of his family; he's a bum. 3 vulg. the buttocks adj. 1 infrml. bad, no good: Those cheap shoes are of bum quality. 2 infrml. a bum rap: an unfair accusation: She was accused of stealing, but got a bum rap because she didn't do it. 3 infrml. bummed out: disappointed: She was bummed out when I said, ""I don't have any cigarettes."" See: bummer. v. bummed, bumming, bums 1 [T] to ask for s.t. without repaying it: Can I bum a cigarette from you? 2 phrasal v. [I;T] to bum around: to wander from place to place: He bummed around the country for the summer.",9
bun,"/bn/  n. 1 a small, roundish bread: I had an egg on a bun for breakfast. 2 hair coiled into a round shape, usu. at the back of the head  3 fig.vulg. a buttock. See: muffin.",9
bus,"/bs/  n. buses or busses  a large, often public vehicle used to carry passengers: He takes the bus to work every day.  v. [T] bused or bussed, busing or bussing, buses or busses to travel by bus: Schoolchildren are bused from their home to school and back. See: busing.",9
but,"/bt;/  strong form /bt/conj. 1 in contrast, on the other hand: She is pretty, but he is ugly. 2 except for, save: No one but John saw the accident happen. 3 except that: We wanted to buy that house, but the price was too high. 4 instead of the expected, (syn.) however: It rained all day, but we still had a good time. 5 without the result that, (syn.) unless: It never rains, but it pours. 6 that (after a negative): I don't doubt but you're telling the truth. 7 other than: She has no goal but to win the tennis match.  prep. with the exception of, (syn.) save: I want nothing but the truth from you.  adv. 1 frml. only: If you had but told her in time. 2 only, (syn.) merely: She's but a baby.  n. no ifs, ands, or buts: no excuses or exceptions: Let's get the job done now with no ifs, ands, or buts.",1
buy,"/ba/  n. 1 s.t. that one buys, a purchase   2 infrml. s.t. bought at a low price: That house (car, TV, etc.) is a great buy.  v. bought /bt/, buying, buys 1 [I;T] to pay for s.t.: I buy a newspaper every morning. 2 [T] fig. to agree: John says to Paul, ""I think the economy is in trouble."" Paul says, ""I'll buy that."" 3 infrml. [T] to pay s.o. to do s.t. illegal or dishonest: The criminal was let go, because his friends bought the judge. 4 phrasal v. insep. [T] to buy in or into s.t.: to be convinced s.t. is good or true: I bought into his plan to start a restaurant; I liked the opportunity, so I bought in. 5 phrasal v. sep. [T] to buy s.o. off: to pay s.o. not to talk or complain: He buys off his children with expensive toys, because he never spends any time with them.||He buys them off. 6 phrasal v. sep. [T] to buy s.o. out: to purchase another's share of s.t. so that one owns all or most of it: She bought out her partners' shares in the business.||She bought them out. 7 phrasal v. sep. [T] to buy s.t. up: to purchase all that is available: She bought up all the shrimp in the store for her party.|| She bought it up.Thesaurus: buy n. 2 a bargain. v. 1 to purchase s.t., to get | invest in, put money into. Ant. to sell. 2 to believe, accept as true 3 to bribe, influence, pay off. ",9
"C,c","/si/  n. C's, c's, or Cs, cs 1 the third letter of the English alphabet 2 a school grade below B and above D: She got a C on her exam. 3 C: the Roman numeral for 100",9
c/o,"/krv/  abbr.for (in) care of (used in an address so that s.o. will pass it on to the right person): You can write to Mr. Jones in care of his company. Address the letter: Mr. John Jones, c/o XYZ Company, 123 Main St., Anywhere, USA.",9
cab,"/kb/  n. 1 a car that carries passengers for a fare (price), a taxicab: Let's take a cab to the office. 2 a closed-in section where the driver sits in a large vehicle or piece of machinery: Trucks, train engines, bulldozers, etc., have cabs.Thesaurus: cab 1 a taxi | limo.",9
cad,"/kd/  n.frml. a man with bad manners, (syn.) an ungentlemanly fellow: That cad knocked over the old woman and never even looked back!",9
cap,"/kp/  n. 1 a removable top to a bottle, jar, etc.: Please put the cap back on the medicine bottle. 2 a soft hat, often with a visor: She wears a baseball cap when she runs. 3 a soft hat with no visor: a nurse's cap, a soldier's cap 4 a limit on s.t.: The government put a cap on its spending.  v. [T] capped, capping, caps 1 to cover with a cap: Workers capped an oil well to  prevent oil from spilling. 2 to add s.t. special at the end of (one's career, a special occasion, etc.): The businesswoman capped her career by starting another successful company just before she retired.Thesaurus: cap n. 4 a restriction.  v. 1 to plug, top s.t. 2 to finish off s.t., round off, top off.",9
car,"/kr/  n. 1 an automobile: I drive my car to work every day. 2 a vehicle that runs on tracks or wires: a railroad car, a subway car, a cable car, an elevator carThesaurus: car an auto, motor vehicle | convertible, station wagon, SUV.",1
cat,"/kt/  n. 1 a general term for a group of four-legged, furry animals with sharp teeth and claws: Cats include lions, tigers, leopards, house cats, etc. 2 a small cat with soft fur, (syn.) a house cat: People love having cats as pets. 3 the cat's meow: the very best: They love their new house; they think it's the cat's meow. 4 to let the cat out of the bag: to reveal a secret, usu. by mistake: He let the cat out of the bag when he accidentally told his wife about her surprise birthday party. 5 to rain cats and dogs: to rain very heavily: I wouldn't go out right now; it's raining cats and dogs.",9
CEO,/siio/  n. abbr. for Chief Executive Officer,9
CFO,/sifo/  n.abbr. for Chief Financial Officer,9
CIA,"/siae/  abbr. for Central Intelligence Agency, a branch of the US government that secretly gathers information about other countries: The CIA has its agents in nearly every country of the world.",9
co-,"/ko/  prefix together with, joint: coauthor, cochairman",9
cob,"/kb/  n. 1 an ear of corn without any corn left on it, a corncob: After the meal, I threw the cobs in the garbage. 2 a male swan",9
cod,"/kd/  or codfish /kdf/ n. [C;U] cod or cods a fish found in the North Atlantic Ocean: For hundreds of years, the cod was an important food for North Americans.",1
cog,"/kg, kg/  n. 1 one of many teeth on a wheel that fit into teeth on another wheel and turn it: I have an old-fashioned wristwatch where cogs inside turn its hands. 2 infrml. a cog in a wheel: s.o. with a low-level job in a large organization",9
coo,"/ku/  n. a soft sound made by pigeons and doves v. 1 [I] to make such a sound  2 [I;T] fig. to talk in a soft, breathy way, usu. about love: The man and woman cooed about their love for each other.",9
cop,"/kp/  n.slang a police officer: After he hit me, I called the cops to come get him.  v.slang copped, copping, cops 1 [T] to steal s.t.  2 phrasal v. [I] to cop out: to agree to do s.t., then not do it: He promised to help us with the work, but didn't show up, so he copped out on us. See: cop-out. v. to cop a plea: (in law) to plead guilty to a lesser charge to be free of a more severe one: He copped a plea, so the judge let him off with a small fine.",9
cot,/kt/  n. a simple bed that usu. can be folded up and moved easily: I took a cot out of the closet for my friend to sleep on.,9
coy,"/k/  adj. pretending to be shy, evasive esp. in a playful, mocking manner: She likes him, but is coy about telling him so. -adv. coyly; -n. [U] coyness.",9
CPA,/sipie/  abbr. for certified public accountant: My CPA did my federal income tax  return.,9
cry,"/kra/  n. cries 1 a loud sound made by living things: a cry of pain, a cry for help 2 a normal sound made by some animals and birds: the cry of a bird 3 an act or period of tears running from the eyes from strong emotion: She had a good cry when the heroine died at the end of the movie. 4 a far cry: very different, far from: His life as a dishwasher here is a far cry from his job as a doctor in his own country.  v. cried, crying, cries 1 [I] to have tears running from the eyes because of sadness, pain, or strong emotion: He cried when his mother died.||fig.He cried his eyes out. 2 [I;T] to make a loud sound from the mouth in pain or fear: The swimmer cried out for help. 3 For crying out loud: an expression of annoyance: For crying out loud, will you stop complaining! 4 to cry for joy: to weep from happiness: When her lost son was found, the mother cried for joy. 5 phrasal v. insep. [T] to cry out against s.t.: Voters are crying out against new taxes. 6 phrasal v. insep. [T] to cry out for s.o. or s.t.: to demand, need: That problem is crying out for attention. See: milk.Thesaurus: cry n. 1 a shout, howl, call. Ant. a whisper.  2 a call, song (birds). v. 1 to weep, shed tears, sob. 2 to shout, call.",1
cub,"/kb/  n.adj. 1 the young of some wild animals (bear, wolf, fox, etc.): Lion <n.> cubs  depend on their mother to feed them. 2 a beginner: a <adj.> cub reporter for a newspaper",9
cup,"/kp/  n. 1 a small, round, open container, usu. with a handle, for drinking liquids: She drinks coffee from a cup. 2 a measure of 8 fluid ounces or 16  tablespoons: The recipe called for a cup of flour. 3 a prize for winning a sports competition, (syn.) a trophy  4 either side of a brassiere  5 one's cup of tea: (often used negatively) a favorite thing: Driving in a bad snowstorm is not my cup of tea. 6 to be in one's cups: to be drunk v. [T] cupped, cupping, cups to form one's hands into a cup: The farmer cupped his hands to drink water from the stream.",9
cur,"/kr/  n. old usage a bad-tempered, often ugly dog, (syn.) a mongrel: That cur tried to bite me!",9
